year,aod_total_550nm,aod_black_carbon,aod_dust,aod_sulfate,aod_organic_carbon
2005,0.30390683,0.024311429,0.08802643,0.121368445,0.052754205
2006,0.31822035,0.02479268,0.08544562,0.13867271,0.052323576
2007,0.32935068,0.026995746,0.07530216,0.15040047,0.060534913
2008,0.36854562,0.026201544,0.098937064,0.16788273,0.057211418
2009,0.35578153,0.025985988,0.09117807,0.15650235,0.064269684
2010,0.33982536,0.024070682,0.08275219,0.15832792,0.057278275
2011,0.3580422,0.025915906,0.08692572,0.16792734,0.06011747
2012,0.37534854,0.025482848,0.11276262,0.15526241,0.06271481
2013,0.34532785,0.02572363,0.07512231,0.16760279,0.06162195
2014,0.3566363,0.024999946,0.08759,0.16673018,0.058401797
2015,0.3741361,0.02581764,0.09007248,0.1752804,0.061907902
2016,0.35463762,0.028587272,0.07843902,0.159148,0.06766366
2017,0.35209548,0.026372166,0.08987662,0.15832722,0.0593876
2018,0.37933096,0.027167076,0.1206836,0.15155919,0.06197304
2019,0.358633,0.02468736,0.087946504,0.17010854,0.058067948
2020,0.3333176,0.025158899,0.066579014,0.17046714,0.058815096
2021,0.3757448,0.027844539,0.091293536,0.16998647,0.06960737
2022,0.365587,0.0252276,0.10080641,0.16285022,0.060306445
2023,0.3673474,0.02727981,0.07729741,0.17676459,0.06824418
