location,zone,GHI_annual,DNI_annual,beam_fraction
Banke,Mid-West Terai,1813.3984210526316,2095.9526315789476,1.1558147438786786
Dang,Inner Terai,1788.1605263157894,2062.8305263157895,1.1536047776235796
Bardiya,Mid-West Terai,1798.3952631578948,2074.54,1.1535506362251025
Surkhet,Mid-West Hills,1749.2878947368422,2011.374210526316,1.1498245752331702
Bara,Madhesh Terai,1797.2857894736842,2051.347894736842,1.1413587681776294
Parsa,Madhesh Terai,1772.4863157894736,2021.496842105263,1.1404865719399808
Rautahat,Madhesh Terai,1788.2931578947369,2037.1373684210525,1.139151799260512
Kailali,Far-West Terai,1737.0794736842106,1977.6305263157894,1.1384801652865018
Kapilvastu,Western Terai,1761.157894736842,1995.381052631579,1.1329938437630747
Mahottari,Madhesh Terai,1770.1257894736843,2002.2794736842104,1.1311509529950146
Sarlahi,Madhesh Terai,1734.5105263157895,1961.0894736842106,1.1306299062074239
Rupandehi,Western Terai,1735.5478947368422,1953.7684210526315,1.1257358134440179
Chitwan,Western Terai,1670.7363157894736,1880.4794736842105,1.1255393540635565
Makwanpur,Central Hills,1711.0021052631578,1920.203157894737,1.1222681444915015
Dhanusha,Madhesh Terai,1742.5726315789473,1954.5715789473684,1.1216586003513258
Kanchanpur,Far-West Terai,1737.4042105263159,1945.3842105263157,1.11970731896465
Dailekh,Mid-West Hills,1737.8647368421052,1943.5252631578946,1.1183409283564252
Baitadi,Far-West Hills,1678.3347368421053,1875.1352631578948,1.1172594012360624
Parasi,Western Terai,1708.2026315789474,1908.1384210526317,1.1170445389660109
Dadeldhura,Far-West Hills,1670.703157894737,1856.5863157894737,1.1112604336780982
Siraha,Eastern Terai,1740.3747368421052,1925.7615789473684,1.1065212210800337
Nawalpur,Inner Terai,1672.9315789473683,1839.5605263157895,1.0996029661136928
Jumla,High Mountain,1843.5384210526315,2010.8652631578948,1.090763957069971
Kaski,Western Hills,1600.4336842105263,1743.2068421052631,1.089209043338253
Mustang,High Mountain,1999.851052631579,2167.1852631578945,1.083673336724814
Palpa,Western Hills,1653.287894736842,1791.3757894736843,1.0835231995446397
Kathmandu,Central Hills,1640.1868421052632,1771.7942105263157,1.0802392538719112
Bhaktapur,Central Hills,1640.2794736842104,1770.7852631578946,1.0795631424811754
