location,zone,latitude,longitude
Jhapa,Eastern Terai,26.6,87.92
Morang,Eastern Terai,26.67,87.3
Sunsari,Eastern Terai,26.8,87.18
Siraha,Eastern Terai,26.65,86.19
Taplejung,Eastern Hills,27.35,87.67
Panchthar,Eastern Hills,27.15,87.8
Ilam,Eastern Hills,26.91,87.92
Terhathum,Eastern Hills,27.12,87.53
Dhankuta,Eastern Hills,27.09,87.35
Bhojpur,Eastern Hills,27.17,87.05
Khotang,Eastern Hills,27.02,86.83
Udayapur,Eastern Hills,26.93,86.53
Ramechhap,Eastern Hills,27.33,86.08
Sankhuwasabha,Eastern Mountain,27.35,87.27
Saptari,Madhesh Terai,26.59,86.73
Dhanusha,Madhesh Terai,26.87,85.93
Mahottari,Madhesh Terai,26.91,85.73
Sarlahi,Madhesh Terai,27.1,85.55
Rautahat,Madhesh Terai,27.0,85.3
Bara,Madhesh Terai,27.0,85.0
Parsa,Madhesh Terai,27.13,84.98
Solukhumbu,Central Hills,27.68,86.6
Okhaldhunga,Central Hills,27.31,86.5
Dolakha,Central Hills,27.67,86.08
Sindhupalchok,Central Hills,27.95,85.68
Kavrepalanchok,Central Hills,27.53,85.55
Lalitpur,Central Hills,27.67,85.32
Bhaktapur,Central Hills,27.67,85.43
Kathmandu,Central Hills,27.72,85.32
Nuwakot,Central Hills,27.92,85.17
Rasuwa,Central Hills,28.1,85.37
Dhading,Central Hills,27.87,84.9
Sindhuli,Central Hills,27.25,85.97
Makwanpur,Central Hills,27.42,85.0
Gorkha,Central Hills,28.0,84.63
Nawalpur,Inner Terai,27.69,84.13
Dang,Inner Terai,28.1,82.3
Chitwan,Western Terai,27.53,84.35
Parasi,Western Terai,27.57,83.7
Rupandehi,Western Terai,27.57,83.45
Kapilvastu,Western Terai,27.57,83.05
Lamjung,Western Hills,28.2,84.4
Tanahun,Western Hills,27.92,84.25
Kaski,Western Hills,28.22,84.0
Syangja,Western Hills,27.95,83.88
Parbat,Western Hills,28.38,83.66
Baglung,Western Hills,28.27,83.59
Myagdi,Western Hills,28.47,83.58
Gulmi,Western Hills,28.08,83.26
Palpa,Western Hills,27.87,83.54
Arghakhanchi,Western Hills,27.97,83.17
Banke,Mid-West Terai,28.05,81.62
Bardiya,Mid-West Terai,28.35,81.26
Rolpa,Mid-West Hills,28.23,82.65
Rukum_East,Mid-West Hills,28.63,82.63
Pyuthan,Mid-West Hills,28.1,82.87
Salyan,Mid-West Hills,28.37,82.17
Surkhet,Mid-West Hills,28.6,81.62
Dailekh,Mid-West Hills,28.85,81.72
Jajarkot,Mid-West Hills,28.7,82.23
Rukum_West,Mid-West Hills,28.87,82.37
Kalikot,Mid-West Hills,29.13,81.62
Kailali,Far-West Terai,28.77,80.87
Kanchanpur,Far-West Terai,29.14,80.27
Achham,Far-West Hills,29.1,81.2
Doti,Far-West Hills,29.27,81.05
Bajhang,Far-West Hills,29.57,81.23
Bajura,Far-West Hills,29.43,81.52
Baitadi,Far-West Hills,29.55,80.42
Darchula,Far-West Hills,29.85,80.55
Dadeldhura,Far-West Hills,29.3,80.58
Mustang,High Mountain,28.98,83.85
Manang,High Mountain,28.67,84.02
Dolpa,High Mountain,29.05,82.8
Mugu,High Mountain,29.55,82.37
Humla,High Mountain,29.97,82.15
Jumla,High Mountain,29.27,82.18
