scenario_name,capex_per_mw,tariff,debt_ratio,interest_rate,loan_term_years,project_year,resource_case,ghi_value,dscr_value,status
Scenario A,80000000,7.3,0.75,0.09,12,1,P50 (2005-2023 mean),1658.3,1.319,OK
Scenario A,80000000,7.3,0.75,0.09,12,1,Trough avg (2015-2021),1625.3,1.292,OK
Scenario A,80000000,7.3,0.75,0.09,12,1,Worst year (2020-2021 avg),1579.9,1.256,OK
Scenario A,80000000,7.3,0.75,0.09,12,5,P50 (2005-2023 mean),1658.3,1.292,OK
Scenario A,80000000,7.3,0.75,0.09,12,5,Trough avg (2015-2021),1625.3,1.267,OK
Scenario A,80000000,7.3,0.75,0.09,12,5,Worst year (2020-2021 avg),1579.9,1.231,OK
Scenario A,80000000,7.3,0.75,0.09,12,10,P50 (2005-2023 mean),1658.3,1.26,OK
Scenario A,80000000,7.3,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.235,OK
Scenario A,80000000,7.3,0.75,0.09,12,10,Worst year (2020-2021 avg),1579.9,1.201,OK
Scenario A,85000000,7.3,0.75,0.09,12,1,P50 (2005-2023 mean),1658.3,1.241,OK
Scenario A,85000000,7.3,0.75,0.09,12,1,Trough avg (2015-2021),1625.3,1.216,OK
Scenario A,85000000,7.3,0.75,0.09,12,1,Worst year (2020-2021 avg),1579.9,1.182,Below covenant
Scenario A,85000000,7.3,0.75,0.09,12,5,P50 (2005-2023 mean),1658.3,1.216,OK
Scenario A,85000000,7.3,0.75,0.09,12,5,Trough avg (2015-2021),1625.3,1.192,Below covenant
Scenario A,85000000,7.3,0.75,0.09,12,5,Worst year (2020-2021 avg),1579.9,1.159,Below covenant
Scenario A,85000000,7.3,0.75,0.09,12,10,P50 (2005-2023 mean),1658.3,1.186,Below covenant
Scenario A,85000000,7.3,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.163,Below covenant
Scenario A,85000000,7.3,0.75,0.09,12,10,Worst year (2020-2021 avg),1579.9,1.13,Below covenant
Scenario B,75000000,5.94,0.75,0.09,15,1,P50 (2005-2023 mean),1658.3,1.252,OK
Scenario B,75000000,5.94,0.75,0.09,15,1,Trough avg (2015-2021),1625.3,1.227,OK
Scenario B,75000000,5.94,0.75,0.09,15,1,Worst year (2020-2021 avg),1579.9,1.193,Below covenant
Scenario B,75000000,5.94,0.75,0.09,15,5,P50 (2005-2023 mean),1658.3,1.227,OK
Scenario B,75000000,5.94,0.75,0.09,15,5,Trough avg (2015-2021),1625.3,1.203,OK
Scenario B,75000000,5.94,0.75,0.09,15,5,Worst year (2020-2021 avg),1579.9,1.169,Below covenant
Scenario B,75000000,5.94,0.75,0.09,15,10,P50 (2005-2023 mean),1658.3,1.197,Below covenant
Scenario B,75000000,5.94,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.173,Below covenant
Scenario B,75000000,5.94,0.75,0.09,15,10,Worst year (2020-2021 avg),1579.9,1.14,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,1,P50 (2005-2023 mean),1658.3,1.157,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,1,Trough avg (2015-2021),1625.3,1.134,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,1,Worst year (2020-2021 avg),1579.9,1.102,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,5,P50 (2005-2023 mean),1658.3,1.134,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,5,Trough avg (2015-2021),1625.3,1.111,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,5,Worst year (2020-2021 avg),1579.9,1.08,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,10,P50 (2005-2023 mean),1658.3,1.106,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.084,Below covenant
Scenario B,75000000,5.55,0.75,0.09,15,10,Worst year (2020-2021 avg),1579.9,1.054,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,1,P50 (2005-2023 mean),1658.3,1.091,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,1,Trough avg (2015-2021),1625.3,1.07,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,1,Worst year (2020-2021 avg),1579.9,1.04,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,5,P50 (2005-2023 mean),1658.3,1.07,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,5,Trough avg (2015-2021),1625.3,1.048,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,5,Worst year (2020-2021 avg),1579.9,1.019,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,10,P50 (2005-2023 mean),1658.3,1.043,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.022,Below covenant
Scenario B,75000000,5.28,0.75,0.09,15,10,Worst year (2020-2021 avg),1579.9,0.994,DEFAULT RISK
Scenario B,75000000,5.0,0.75,0.09,15,1,P50 (2005-2023 mean),1658.3,1.023,Below covenant
Scenario B,75000000,5.0,0.75,0.09,15,1,Trough avg (2015-2021),1625.3,1.003,Below covenant
Scenario B,75000000,5.0,0.75,0.09,15,1,Worst year (2020-2021 avg),1579.9,0.975,DEFAULT RISK
Scenario B,75000000,5.0,0.75,0.09,15,5,P50 (2005-2023 mean),1658.3,1.003,Below covenant
