location,zone,GHI_annual
Mustang,High Mountain,1999.851052631579
Jumla,High Mountain,1843.5384210526315
Dolpa,High Mountain,1818.498947368421
Banke,Mid-West Terai,1813.3984210526316
Bardiya,Mid-West Terai,1798.3952631578948
Bara,Madhesh Terai,1797.2857894736842
Rautahat,Madhesh Terai,1788.2931578947369
Dang,Inner Terai,1788.1605263157894
Manang,High Mountain,1786.2652631578947
Parsa,Madhesh Terai,1772.4863157894736
Mahottari,Madhesh Terai,1770.1257894736843
Kapilvastu,Western Terai,1761.157894736842
Surkhet,Mid-West Hills,1749.2878947368422
Humla,High Mountain,1748.463157894737
Dhanusha,Madhesh Terai,1742.5726315789473
Siraha,Eastern Terai,1740.3747368421052
Dailekh,Mid-West Hills,1737.8647368421052
Kanchanpur,Far-West Terai,1737.4042105263159
Kailali,Far-West Terai,1737.0794736842106
Rupandehi,Western Terai,1735.5478947368422
Sarlahi,Madhesh Terai,1734.5105263157895
Jajarkot,Mid-West Hills,1718.8426315789472
Makwanpur,Central Hills,1711.0021052631578
Parasi,Western Terai,1708.2026315789474
Rasuwa,Central Hills,1705.5431578947369
Mugu,High Mountain,1701.4015789473683
Kalikot,Mid-West Hills,1690.628947368421
Baitadi,Far-West Hills,1678.3347368421053
Saptari,Madhesh Terai,1673.2384210526316
Nawalpur,Inner Terai,1672.9315789473683
Darchula,Far-West Hills,1672.6726315789474
Chitwan,Western Terai,1670.7363157894736
Dadeldhura,Far-West Hills,1670.703157894737
Bajura,Far-West Hills,1662.5673684210526
Pyuthan,Mid-West Hills,1659.1799999999998
Palpa,Western Hills,1653.287894736842
Arghakhanchi,Western Hills,1648.9736842105262
Rukum_West,Mid-West Hills,1644.1126315789475
Sindhuli,Central Hills,1643.1942105263158
Bhaktapur,Central Hills,1640.2794736842104
Kathmandu,Central Hills,1640.1868421052632
Lalitpur,Central Hills,1639.6836842105263
Solukhumbu,Central Hills,1636.9242105263158
Morang,Eastern Terai,1633.8768421052632
Salyan,Mid-West Hills,1631.6247368421052
Dolakha,Central Hills,1630.3268421052633
Nuwakot,Central Hills,1626.048947368421
Rukum_East,Mid-West Hills,1622.5215789473684
Dhading,Central Hills,1619.5647368421053
Tanahun,Western Hills,1613.5242105263158
Ramechhap,Eastern Hills,1613.171052631579
Doti,Far-West Hills,1607.9099999999999
Sankhuwasabha,Eastern Mountain,1606.008947368421
Syangja,Western Hills,1603.6984210526316
Achham,Far-West Hills,1602.66
Kaski,Western Hills,1600.4336842105263
Jhapa,Eastern Terai,1600.3573684210526
Udayapur,Eastern Hills,1599.4657894736843
Baglung,Western Hills,1598.6942105263158
Lamjung,Western Hills,1597.007894736842
Rolpa,Mid-West Hills,1593.998947368421
Sunsari,Eastern Terai,1580.1368421052632
Kavrepalanchok,Central Hills,1579.4663157894738
Gorkha,Central Hills,1573.0236842105264
Bhojpur,Eastern Hills,1565.637894736842
Ilam,Eastern Hills,1553.3168421052633
Dhankuta,Eastern Hills,1552.0884210526315
Terhathum,Eastern Hills,1547.3663157894737
Gulmi,Western Hills,1540.4789473684211
Taplejung,Eastern Hills,1524.8647368421052
Khotang,Eastern Hills,1522.1805263157894
Okhaldhunga,Central Hills,1521.7715789473684
Sindhupalchok,Central Hills,1518.9005263157894
Parbat,Western Hills,1512.0952631578948
Bajhang,Far-West Hills,1491.9284210526316
Panchthar,Eastern Hills,1488.7194736842107
Myagdi,Western Hills,1470.4794736842105
