district_name,r_era5_vs_power,p_value
Panchthar,0.424,0.0705
Terhathum,0.474,0.0403
Dolpa,0.49,0.0333
Dhankuta,0.5,0.0294
Bhojpur,0.511,0.0255
Taplejung,0.541,0.0168
Rasuwa,0.548,0.0152
Mustang,0.567,0.0114
Gulmi,0.573,0.0103
Khotang,0.576,0.0099
Mugu,0.583,0.0089
Jhapa,0.597,0.007
Sankhuwasabha,0.598,0.0069
Manang,0.609,0.0057
Parbat,0.615,0.0051
Baglung,0.616,0.005
Myagdi,0.618,0.0048
Gorkha,0.625,0.0042
Achham,0.626,0.0041
Ramechhap,0.638,0.0033
Okhaldhunga,0.638,0.0033
Morang,0.639,0.0032
Ilam,0.644,0.0029
Kaski,0.666,0.0018
Saptari,0.666,0.0019
Lamjung,0.675,0.0015
Solukhumbu,0.677,0.0015
Kanchanpur,0.681,0.0013
Dhanusha,0.685,0.0012
Sindhuli,0.685,0.0012
Udayapur,0.685,0.0012
Kalikot,0.687,0.0012
Siraha,0.691,0.0011
Sunsari,0.695,0.001
Doti,0.695,0.001
Rautahat,0.703,0.0008
Pyuthan,0.703,0.0008
Sarlahi,0.704,0.0008
Mahottari,0.709,0.0007
Dolakha,0.709,0.0007
Bara,0.711,0.0006
Bajhang,0.711,0.0006
Jumla,0.716,0.0006
Bajura,0.72,0.0005
Rolpa,0.726,0.0004
Dang,0.741,0.0003
Makwanpur,0.752,0.0002
Dadeldhura,0.756,0.0002
Parsa,0.76,0.0002
Baitadi,0.761,0.0002
Humla,0.782,0.0001
Chitwan,0.784,0.0001
Nawalpur,0.785,0.0001
Parasi,0.785,0.0001
Rupandehi,0.787,0.0001
Salyan,0.791,0.0001
Kapilvastu,0.793,0.0001
Syangja,0.797,0.0
Palpa,0.798,0.0
Bhaktapur,0.803,0.0
Arghakhanchi,0.803,0.0
Kathmandu,0.803,0.0
Lalitpur,0.803,0.0
Darchula,0.804,0.0
Tanahun,0.805,0.0
Nuwakot,0.82,0.0
Kavrepalanchok,0.82,0.0
Rukum_East,0.825,0.0
Jajarkot,0.828,0.0
Dhading,0.831,0.0
Kailali,0.837,0.0
Sindhupalchok,0.857,0.0
Rukum_West,0.867,0.0
Banke,0.88,0.0
Bardiya,0.9,0.0
Surkhet,0.905,0.0
Dailekh,0.909,0.0
