location,zone,month,GHI_monthly,DNI_monthly
Achham,Far-West Hills,1,102.59315789473685,128.43842105263158
Achham,Far-West Hills,2,119.20947368421052,136.35789473684213
Achham,Far-West Hills,3,169.9657894736842,183.11368421052632
Achham,Far-West Hills,4,187.03894736842105,185.88105263157894
Achham,Far-West Hills,5,192.32894736842104,179.66368421052633
Achham,Far-West Hills,6,156.14368421052632,126.53736842105263
Achham,Far-West Hills,7,108.95526315789475,60.465789473684204
Achham,Far-West Hills,8,109.89684210526316,66.01473684210526
Achham,Far-West Hills,9,121.48526315789475,96.9121052631579
Achham,Far-West Hills,10,131.77473684210526,140.58842105263156
Achham,Far-West Hills,11,108.33473684210527,133.7021052631579
Achham,Far-West Hills,12,94.93315789473684,124.09736842105262
Arghakhanchi,Western Hills,1,109.93315789473684,148.4657894736842
Arghakhanchi,Western Hills,2,122.51631578947368,144.37315789473686
Arghakhanchi,Western Hills,3,173.30263157894737,191.02052631578945
Arghakhanchi,Western Hills,4,194.4157894736842,198.3621052631579
Arghakhanchi,Western Hills,5,192.99,175.22368421052633
Arghakhanchi,Western Hills,6,153.77947368421053,120.80684210526316
Arghakhanchi,Western Hills,7,115.85105263157895,71.04684210526317
Arghakhanchi,Western Hills,8,118.44000000000001,79.63947368421051
Arghakhanchi,Western Hills,9,120.9857894736842,100.87105263157895
Arghakhanchi,Western Hills,10,134.84315789473683,152.67736842105262
Arghakhanchi,Western Hills,11,110.12105263157896,140.9657894736842
Arghakhanchi,Western Hills,12,101.79526315789474,143.56526315789472
Baglung,Western Hills,1,115.26736842105262,178.40421052631578
Baglung,Western Hills,2,122.65526315789472,169.1121052631579
Baglung,Western Hills,3,171.67473684210526,201.92105263157896
Baglung,Western Hills,4,185.1021052631579,186.02421052631578
Baglung,Western Hills,5,178.44736842105263,157.23210526315788
Baglung,Western Hills,6,137.56157894736842,101.3157894736842
Baglung,Western Hills,7,103.67210526315789,55.00368421052631
Baglung,Western Hills,8,107.36842105263158,64.72631578947369
Baglung,Western Hills,9,116.14736842105265,98.20157894736842
Baglung,Western Hills,10,135.38631578947368,160.15684210526317
Baglung,Western Hills,11,115.41736842105263,168.7342105263158
Baglung,Western Hills,12,109.99421052631578,184.3121052631579
Baitadi,Far-West Hills,1,111.32736842105263,171.22315789473683
Baitadi,Far-West Hills,2,122.01368421052632,159.26315789473685
Baitadi,Far-West Hills,3,172.7657894736842,201.0821052631579
Baitadi,Far-West Hills,4,193.27315789473684,203.3821052631579
Baitadi,Far-West Hills,5,199.41736842105266,194.28947368421052
Baitadi,Far-West Hills,6,165.3647368421053,145.66473684210527
Baitadi,Far-West Hills,7,104.22473684210526,63.42263157894737
Baitadi,Far-West Hills,8,105.3157894736842,68.37473684210526
Baitadi,Far-West Hills,9,129.25368421052633,121.6136842105263
Baitadi,Far-West Hills,10,144.18052631578948,178.49578947368423
Baitadi,Far-West Hills,11,120.0,179.72368421052633
Baitadi,Far-West Hills,12,111.19789473684212,188.6
Bajhang,Far-West Hills,1,95.33210526315789,132.24
Bajhang,Far-West Hills,2,104.49105263157894,124.27894736842106
Bajhang,Far-West Hills,3,151.23315789473685,153.24421052631578
Bajhang,Far-West Hills,4,172.18052631578948,156.7342105263158
Bajhang,Far-West Hills,5,174.91473684210527,137.98
