location,P50,P90,zone,P50_empirical,P90_empirical,P90_gap,P90_gap_pct
Salyan,1631.6247368421052,1563.9466482535572,Mid-West Hills,1630.1,1558.8,-5.1466482535572595,-0.329080807155696
Dang,1788.1605263157896,1714.0368935172653,Inner Terai,1787.3,1708.5,-5.536893517265298,-0.32303234184786966
Banke,1813.3984210526316,1747.056394747865,Mid-West Terai,1816.1,1744.1,-2.9563947478650334,-0.16922148344797422
Rolpa,1593.998947368421,1527.4540039834935,Mid-West Hills,1591.0,1526.0,-1.4540039834935214,-0.09519134322222342
Nawalpur,1672.9315789473685,1595.5290634806047,Inner Terai,1665.0,1594.9,-0.6290634806046,-0.03942663878728192
Chitwan,1670.7363157894736,1594.7883389904307,Western Terai,1664.8,1595.5,0.7116610095692977,0.04462416686717245
Syangja,1603.6984210526316,1524.6530550115342,Western Hills,1587.4,1526.2,1.5469449884658388,0.10146209876279925
Bardiya,1798.3952631578948,1733.697532160518,Mid-West Terai,1797.8,1735.8,2.1024678394819603,0.12127074074229569
Kapilvastu,1761.157894736842,1685.6790778531615,Western Terai,1759.0,1688.0,2.320922146838484,0.13768469795533989
Taplejung,1524.8647368421052,1471.2286623342227,Eastern Hills,1525.8,1473.7,2.471337665777355,0.16797780855196087
Rukum_East,1622.5215789473684,1553.9655176348997,Mid-West Hills,1611.7,1557.5,3.5344823651003026,0.22744921460546336
Arghakhanchi,1648.9736842105262,1574.0004273448078,Western Hills,1643.0,1577.6,3.5995726551921052,0.22868943315754045
Pyuthan,1659.1799999999998,1584.0157023676295,Mid-West Hills,1652.5,1587.7,3.6842976323705443,0.2325922417854584
Tanahun,1613.5242105263158,1536.7490089628395,Western Hills,1608.5,1540.4,3.6509910371605656,0.23757887695822494
Parasi,1708.2026315789474,1630.3845402639163,Western Terai,1700.7,1634.8,4.415459736083676,0.27082320931287346
Jajarkot,1718.8426315789475,1648.5819430065592,Mid-West Hills,1714.3,1653.4,4.818056993440905,0.2922546260972686
Parsa,1772.4863157894736,1705.2952856001239,Madhesh Terai,1767.3,1711.0,5.7047143998761385,0.3345294183387452
Surkhet,1749.2878947368422,1680.4850806105,Mid-West Hills,1747.2,1686.3,5.814919389499892,0.34602624305283336
Makwanpur,1711.002105263158,1643.1145110090486,Central Hills,1704.6,1649.2,6.0854889909514895,0.37036304835591444
Baitadi,1678.3347368421053,1615.4716396578726,Far-West Hills,1663.0,1621.6,6.12836034212728,0.379354251209582
Gorkha,1573.0236842105264,1501.1447165308073,Central Hills,1572.2,1506.9,5.755283469192818,0.38339298042452963
Achham,1602.66,1549.5563650692905,Far-West Hills,1596.4,1555.9,6.343634930709641,0.4093839419920667
Kathmandu,1640.1868421052632,1571.0587202215527,Central Hills,1629.5,1577.7,6.64127977844737,0.42272638781514216
Bhaktapur,1640.2794736842106,1571.146313997058,Central Hills,1629.7,1577.8,6.653686002941868,0.423492449026891
Lalitpur,1639.6836842105263,1570.5830435277517,Central Hills,1629.0,1577.4,6.816956472248421,0.4340398618424258
