location,zone,ghi_mean,ghi_std,ghi_count,P50,P75,P90,P99,P90_P50_ratio,P99_P50_ratio
Baglung,Western Hills,1598.6942105263158,63.50072522033722,19,1598.6942105263158,1555.8947217278085,1517.2862807938436,1450.9915236638114,0.9490784859315458,0.9076104198726795
Parbat,Western Hills,1512.0952631578948,59.2410021642687,19,1512.0952631578948,1472.1668276991777,1436.1482983833023,1374.300692123806,0.9497736904380064,0.9088717659585048
Gulmi,Western Hills,1540.478947368421,59.52663651161528,19,1540.478947368421,1500.357994359592,1464.1657993605302,1402.0199908424038,0.9504614145241936,0.910119539924551
Syangja,Western Hills,1603.6984210526316,61.65785182612897,19,1603.6984210526316,1562.1410289218206,1524.6530550115342,1460.2822577050556,0.9507105793686486,0.9105716128014637
Kaski,Western Hills,1600.4336842105265,61.358979620891326,19,1600.4336842105265,1559.0777319460458,1521.7714723365439,1457.7126976123332,0.9508494399674012,0.9108235548862521
Palpa,Western Hills,1653.2878947368422,63.15466188290351,19,1653.2878947368422,1610.7216526277653,1572.32361820296,1506.3901511972085,0.9510283255616715,0.9111481164246862
Myagdi,Western Hills,1470.4794736842105,55.27153682539447,19,1470.4794736842105,1433.2264578638947,1399.6213634740548,1341.917879028343,0.9518129212421956,0.9125716496172754
Tanahun,Western Hills,1613.5242105263158,59.88705270161953,19,1613.5242105263158,1573.1603370054243,1536.7490089628395,1474.2269259423488,0.9524176947190442,0.913668921931745
Lamjung,Western Hills,1597.0078947368422,58.828127114213764,19,1597.0078947368422,1557.357737061862,1521.5902357764203,1460.173671069181,0.9527756505093237,0.9143183799412532
Nawalpur,Inner Terai,1672.9315789473685,60.37637711916056,19,1672.9315789473685,1632.2379007690542,1595.5290634806047,1532.496125768201,0.9537324081625224,0.9160542756521272
Gorkha,Central Hills,1573.0236842105264,56.06783750368103,19,1573.0236842105264,1535.2339617330454,1501.1447165308073,1442.6098941769644,0.9543052222282374,0.9170935623267399
Parasi,Western Terai,1708.2026315789474,60.70053924729408,19,1708.2026315789474,1667.2904681262712,1630.3845402639163,1567.0131772897414,0.9544444611684615,0.9173461908563506
Arghakhanchi,Western Hills,1648.9736842105262,58.481479614444936,19,1648.9736842105262,1609.5571669503904,1574.0004273448078,1512.9457626273274,0.9545333818340387,0.9175075242948316
Chitwan,Western Terai,1670.7363157894736,59.241791574916476,19,1670.7363157894736,1630.80734826798,1594.7883389904307,1532.9399085862178,0.9545422122681548,0.9175235458157006
Pyuthan,Mid-West Hills,1659.1799999999998,58.630497373143776,19,1659.1799999999998,1619.6630447705008,1584.0157023676295,1522.8054631100674,0.9546979244974202,0.9178060626996876
Dhading,Central Hills,1619.5647368421053,56.33787815674892,19,1619.5647368421053,1581.5930069644564,1547.3395770451532,1488.5228322495072,0.9554045860878772,0.9190881959753526
Rupandehi,Western Terai,1735.5478947368422,60.17907716686066,19,1735.5478947368422,1694.987196726378,1658.3983178089268,1595.5713612467243,0.9555474227119423,0.9193473519719015
Nuwakot,Central Hills,1626.048947368421,55.35484339892312,19,1626.048947368421,1588.7397829175468,1555.0840381310015,1497.2935816225258,0.956357458148927,0.9208170418521094
Kapilvastu,Western Terai,1761.157894736842,58.87583220255889,19,1761.157894736842,1721.4755838323174,1685.6790778531615,1624.21270903369,0.9571425043096667,0.9222413923746373
Dolakha,Central Hills,1630.326842105263,54.0859815533082,19,1630.326842105263,1593.8728905383332,1560.988613753922,1504.5228490122681,0.9574697376252459,0.9228351089830904
Rukum_East,Mid-West Hills,1622.5215789473684,53.47586685839987,19,1622.5215789473684,1586.478844684807,1553.9655176348997,1498.1367126347304,0.9577472113764148,0.9233385441977701
Sindhupalchok,Central Hills,1518.9005263157894,49.989397928592396,19,1518.9005263157894,1485.207672111918,1454.814118171334,1402.6251867338835,0.9578073698480427,0.9234476928756219
Bhaktapur,Central Hills,1640.2794736842106,53.9260215968428,19,1640.2794736842106,1603.9333351279386,1571.146313997058,1514.8475474499542,0.9578528166716167,0.9235301494369582
Kathmandu,Central Hills,1640.1868421052632,53.922091952972295,19,1640.1868421052632,1603.8433521289599,1571.0587202215527,1514.7640562226495,0.9578535078387892,0.9235314034578969
Lalitpur,Central Hills,1639.6836842105263,53.90065575879446,19,1639.6836842105263,1603.3546422290988,1570.5830435277517,1514.3107589155704,0.9578573347114537,0.9235383467541666
Kavrepalanchok,Central Hills,1579.4663157894738,51.74866871186439,19,1579.4663157894738,1544.587713077677,1513.1245225008636,1459.0989123656773,0.9579973357928496,0.9237923580765743
Rolpa,Mid-West Hills,1593.998947368421,51.90713212552848,19,1593.998947368421,1559.013540315815,1527.4540039834935,1473.2629580444418,0.9582528310355609,0.9242559165278585
Salyan,Mid-West Hills,1631.6247368421052,52.79102073989698,19,1631.6247368421052,1596.0435888634147,1563.9466482535572,1508.832822601105,0.958521045274458,0.9247425517226128
Dang,Inner Terai,1788.1605263157896,57.81874633270237,19,1788.1605263157896,1749.1906912875481,1714.0368935172653,1653.674122345924,0.9585475511243703,0.9247906426796296
Solukhumbu,Central Hills,1636.9242105263158,52.432365568075696,19,1636.9242105263158,1601.5847961334327,1569.705917868043,1514.9665282149717,0.9589362218323716,0.9254958283791701
Jajarkot,Mid-West Hills,1718.8426315789475,54.805529307635204,19,1718.8426315789475,1681.9037048256014,1648.5819430065592,1591.364970409388,0.9591232569628285,0.9258351760495624
Khotang,Eastern Hills,1522.1805263157894,48.24149256877483,19,1522.1805263157894,1489.6657603244353,1460.33493284262,1409.970814600819,0.9593703950326724,0.9262835716427426
Ramechhap,Eastern Hills,1613.171052631579,50.638196046368115,19,1613.171052631579,1579.040908496327,1548.252885300135,1495.3866086277267,0.9597574186410409,0.9269857689228247
Okhaldhunga,Central Hills,1521.7715789473684,47.723229873832416,19,1521.7715789473684,1489.6061220124054,1460.5903982491152,1410.7673462608343,0.9597960813931266,0.9270559167865933
