location,zone,mean,std,P90_monsoon,P90_P50_monsoon
Baglung,Western Hills,464.7494736842105,36.3332110813974,418.170297077859,0.8997757302722601
Parbat,Western Hills,450.2905263157895,34.34683188910897,406.2578878339518,0.9022128250351917
Myagdi,Western Hills,439.7131578947368,32.99662155309429,397.41148906366993,0.9037971275783531
Kaski,Western Hills,462.8715789473684,34.71562572661831,418.3661467658437,0.9038492873493422
Gulmi,Western Hills,475.41473684210524,35.39798399288063,430.0345213632323,0.9045460479826383
Syangja,Western Hills,478.6394736842105,35.238890522591056,433.4632160342488,0.9056152696679434
Nawalpur,Inner Terai,497.0573684210526,36.31139977749646,450.50615390630213,0.9063463948585561
Lamjung,Western Hills,460.7878947368421,33.63875453153324,417.66301142741645,0.9064105550471233
Palpa,Western Hills,493.0336842105263,35.855399285111,447.067062327014,0.9067677861460588
Parasi,Western Terai,513.5221052631579,36.88055428285381,466.2412346725393,0.907928266171932
Tanahun,Western Hills,470.92052631578946,33.820036709633186,427.56323925403973,0.9079307767683177
Chitwan,Western Terai,492.99157894736845,35.32088920221413,447.7101989901299,0.9081497901973844
Pyuthan,Mid-West Hills,502.00157894736844,35.29674635039294,456.7511501261647,0.9098599870620169
Baitadi,Far-West Hills,504.1589473684211,35.42496199241068,458.7441460941506,0.9099196761034909
Khotang,Eastern Hills,446.16315789473686,31.349393056792003,405.9732359959295,0.9099210206229323
Rupandehi,Western Terai,525.7952631578947,36.92384585850254,478.45889276729446,0.9099718584258426
Dang,Inner Terai,541.0768421052632,37.89656024446773,492.49345187185554,0.9102098141099966
Rukum_East,Mid-West Hills,489.24157894736845,34.0622071874318,445.5738293330809,0.9107439933698169
Arghakhanchi,Western Hills,509.0563157894737,35.35328936613746,463.73339882208546,0.9109667917642887
Bhojpur,Eastern Hills,454.2368421052632,31.446509796201134,413.9224165465333,0.9112480058379159
Kapilvastu,Western Terai,536.8494736842105,37.15639581159082,489.21497425375105,0.9112702875471583
Taplejung,Eastern Hills,450.2642105263158,31.086992334377733,410.41068635364354,0.911488581057581
Sankhuwasabha,Eastern Mountain,460.821052631579,31.732421537099672,420.1400882210172,0.9117206903238301
Jajarkot,Mid-West Hills,503.6336842105264,34.64137542344516,459.2234409176697,0.9118203474367045
Gorkha,Central Hills,463.96578947368425,31.87699018898697,423.09948805140294,0.9119195803883743
Panchthar,Eastern Hills,442.55315789473684,30.400678912856097,403.57948752845533,0.9119344881602865
Salyan,Mid-West Hills,501.52684210526314,34.2492092451509,457.6193558529797,0.9124523703098868
Surkhet,Mid-West Hills,519.1378947368421,35.389579536440976,473.76845377112477,0.9126061853205386
Solukhumbu,Central Hills,461.8905263157895,31.37378709008954,421.6693312662947,0.9129205022447332
Banke,Mid-West Terai,559.3731578947369,37.688747665381456,511.05618338771785,0.9136230013451747
Okhaldhunga,Central Hills,442.8457894736842,29.767894023929273,404.6833493350069,0.9138245388218937
Dhading,Central Hills,472.3421052631579,31.58571083029432,431.8492239787206,0.9142721327757191
Rolpa,Mid-West Hills,495.0594736842105,32.964869764591676,452.798510646004,0.9146345736529344
Dailekh,Mid-West Hills,508.7805263157895,33.81758688967823,465.426379923222,0.914788117567105
Terhathum,Eastern Hills,452.7357894736842,30.02451337671888,414.24436332473056,0.9149803769794723
Dhankuta,Eastern Hills,453.2647368421053,30.029011965915924,414.76754350180113,0.9150668688490659
Bardiya,Mid-West Terai,552.9352631578947,36.43437729038347,506.2263914716231,0.9155256052589044
Dolakha,Central Hills,449.73263157894735,29.535222257521102,411.8684766448053,0.9158074102801783
Darchula,Far-West Hills,515.7657894736842,33.74750037093931,472.50149399814,0.9161163916674399
Rukum_West,Mid-West Hills,508.4226315789473,32.96208071272621,466.16524410523226,0.9168853138136646
Parsa,Madhesh Terai,538.8268421052632,34.80069508447458,494.21235100696674,0.917200689327239
Nuwakot,Central Hills,477.6873684210526,30.815781462336826,438.1815365863368,0.9172977255703906
Manang,High Mountain,515.0468421052632,33.207120229223875,472.4753139713982,0.9173443565640493
Sunsari,Eastern Terai,464.288947368421,29.92804591288483,425.92119250810265,0.9173623342149626
Udayapur,Eastern Hills,474.1352631578947,30.3092894393087,435.27875409670094,0.9180476288508962
Dadeldhura,Far-West Hills,498.5921052631579,31.851746956964963,457.7581656643288,0.9181015119016438
Kanchanpur,Far-West Terai,531.4652631578947,33.72539207719065,488.2293105149363,0.9186476414543893
Kalikot,Mid-West Hills,493.0126315789474,31.19493937628439,453.0207192985508,0.9188825808533212
Ilam,Eastern Hills,453.2378947368421,28.540236816534275,416.64931113804516,0.9192728939400777
Ramechhap,Eastern Hills,465.48999999999995,29.11328848939374,428.1667641565972,0.9198194679941508
Saptari,Madhesh Terai,498.1363157894737,30.833132830073534,458.6082395013194,0.9206480735589253
Lalitpur,Central Hills,485.33210526315787,30.039305099772086,446.8217161252501,0.9206514699516394
Kathmandu,Central Hills,485.3336842105263,30.038960296130675,446.8237371108868,0.9206526388905353
Bhaktapur,Central Hills,485.33736842105264,30.036503688032166,446.8305706929954,0.9206597302545828
Kavrepalanchok,Central Hills,462.80999999999995,28.581841554852055,426.16807912667963,0.9208272922509878
Makwanpur,Central Hills,515.6194736842106,31.832788559681376,474.80983875069904,0.9208531930690709
Sindhupalchok,Central Hills,450.47526315789474,27.69971828344931,414.9642243185127,0.9211698360739174
Kailali,Far-West Terai,531.3494736842105,32.57835895084075,489.58401750923264,0.9213973886425646
Siraha,Eastern Terai,524.5573684210526,32.092544451269774,483.41472643452477,0.9215669353566236
Achham,Far-West Hills,496.4810526315789,30.32740288084484,457.60132213833583,0.9216893972344714
Bara,Madhesh Terai,546.8405263157895,33.33683239529584,504.1027071850202,0.9218459183727561
Jumla,High Mountain,550.7226315789474,33.27833293135426,508.0598087609512,0.9225330132235898
Bajura,Far-West Hills,498.8336842105263,29.984165119188077,460.3939845277272,0.9229408500277296
Jhapa,Eastern Terai,465.4378947368421,27.502351935576414,430.17987955543316,0.9242476481178143
Doti,Far-West Hills,488.73421052631585,28.742420511190513,451.8864274309696,0.9246056807530109
Morang,Eastern Terai,480.4268421052632,28.21272881611175,444.2581237630079,0.9247154505694114
Dhanusha,Madhesh Terai,526.12,30.88502783622584,486.5253943139585,0.9247422533147542
Rautahat,Madhesh Terai,543.7978947368421,31.718295382764573,503.1350400561379,0.925224324929794
Mahottari,Madhesh Terai,536.8994736842105,31.124241262270903,496.9981963859792,0.9256820331291661
Sindhuli,Central Hills,501.1252631578948,28.780439030011934,464.2287403214195,0.9263726546054216
Sarlahi,Madhesh Terai,522.528947368421,29.82261779528657,484.2963513548636,0.9268316210879689
Rasuwa,Central Hills,516.4268421052632,29.393624224127898,478.7442158499312,0.9270320146379007
Bajhang,Far-West Hills,476.81052631578945,26.991741221196662,442.2071140702153,0.9274273315378603
Mugu,High Mountain,566.1268421052631,28.407081091522784,529.7089641459308,0.9356718755395794
Dolpa,High Mountain,588.1773684210526,28.122234746451113,552.1246634761023,0.9387043655866378
Mustang,High Mountain,617.4847368421052,28.843273502079985,580.5076602124387,0.9401166143494138
Humla,High Mountain,578.7142105263158,26.95713208365159,544.1551671950745,0.940283057331854
