district_name,year,ghi_annual_power
Achham,2005,1731.2319
Achham,2006,1758.0336
Achham,2007,1727.8979000000002
Achham,2008,1694.6323
Achham,2009,1835.5008
Achham,2010,1816.0955000000001
Achham,2011,1718.1879000000001
Achham,2012,1760.7703000000001
Achham,2013,1716.5067
Achham,2014,1792.6101999999998
Achham,2015,1773.7614999999998
Achham,2016,1796.0257000000001
Achham,2017,1728.5486
Achham,2018,1761.0384999999999
Achham,2019,1700.4809
Achham,2020,1724.5663
Achham,2021,1697.4882
Achham,2022,1694.5351
Achham,2023,1648.0961
Arghakhanchi,2005,1848.6975
Arghakhanchi,2006,1854.2673
Arghakhanchi,2007,1775.9097
Arghakhanchi,2008,1798.7476
Arghakhanchi,2009,1900.7075
Arghakhanchi,2010,1828.4091
Arghakhanchi,2011,1806.0445
Arghakhanchi,2012,1868.3912
Arghakhanchi,2013,1782.9246
Arghakhanchi,2014,1833.9338
Arghakhanchi,2015,1791.8199
Arghakhanchi,2016,1773.339
Arghakhanchi,2017,1791.1736
Arghakhanchi,2018,1759.5343
Arghakhanchi,2019,1738.5952
Arghakhanchi,2020,1682.6463
Arghakhanchi,2021,1649.3514
Arghakhanchi,2022,1739.912
Arghakhanchi,2023,1748.7267
Baglung,2005,1664.499
Baglung,2006,1679.7521000000002
Baglung,2007,1676.2537
Baglung,2008,1692.7575
Baglung,2009,1794.5787
Baglung,2010,1787.9454
Baglung,2011,1698.8139999999999
Baglung,2012,1759.4533999999999
Baglung,2013,1673.5225
Baglung,2014,1754.4281
Baglung,2015,1690.7092
Baglung,2016,1721.2541
Baglung,2017,1669.529
Baglung,2018,1653.2836
Baglung,2019,1636.8258
Baglung,2020,1611.8248999999998
Baglung,2021,1567.8899
Baglung,2022,1599.5182
Baglung,2023,1595.0511999999999
Baitadi,2005,1835.3362
Baitadi,2006,1839.986
Baitadi,2007,1811.1841
Baitadi,2008,1783.3245000000002
Baitadi,2009,1925.2114
Baitadi,2010,1880.0272
Baitadi,2011,1806.7269000000001
Baitadi,2012,1844.7253
Baitadi,2013,1806.2293
Baitadi,2014,1869.1734999999999
Baitadi,2015,1835.9235
Baitadi,2016,1855.7404
Baitadi,2017,1830.0798
Baitadi,2018,1829.6284
Baitadi,2019,1794.1872
Baitadi,2020,1819.8375
Baitadi,2021,1812.6112
Baitadi,2022,1813.1565
Baitadi,2023,1784.7125
Bajhang,2005,1731.2319
Bajhang,2006,1758.0336
