district,zone,ghi_longrun_mean,ghi_base,ghi_downside,ghi_stress,base_pct,downside_pct,stress_pct
Baglung,Western Hills,1598.7,1603.9,1552.5,1458.5,100.3,97.1,91.2
Gulmi,Western Hills,1540.5,1555.6,1497.1,1421.3,101.0,97.2,92.3
Parbat,Western Hills,1512.1,1517.1,1469.4,1382.4,100.3,97.2,91.4
Kaski,Western Hills,1600.4,1610.8,1557.2,1477.8,100.6,97.3,92.3
Khotang,Eastern Hills,1522.2,1545.7,1480.3,1429.4,101.5,97.3,93.9
Myagdi,Western Hills,1470.5,1475.3,1430.5,1348.1,100.3,97.3,91.7
Palpa,Western Hills,1653.3,1676.9,1608.4,1543.3,101.4,97.3,93.3
Syangja,Western Hills,1603.7,1625.0,1560.5,1499.6,101.3,97.3,93.5
Bhojpur,Eastern Hills,1565.6,1590.1,1524.8,1475.8,101.6,97.4,94.3
Pyuthan,Mid-West Hills,1659.2,1674.1,1617.6,1542.6,100.9,97.5,93.0
Arghakhanchi,Western Hills,1649.0,1673.9,1607.5,1544.5,101.5,97.5,93.7
Lamjung,Western Hills,1597.0,1604.9,1556.8,1477.6,100.5,97.5,92.5
Udayapur,Eastern Hills,1599.5,1631.1,1560.0,1525.5,102.0,97.5,95.4
Tanahun,Western Hills,1613.5,1633.9,1573.5,1511.3,101.3,97.5,93.7
Sunsari,Eastern Terai,1580.1,1611.2,1541.2,1507.7,102.0,97.5,95.4
Nawalpur,Inner Terai,1672.9,1700.4,1632.3,1579.7,101.6,97.6,94.4
Dhankuta,Eastern Hills,1552.1,1577.2,1515.4,1472.6,101.6,97.6,94.9
Okhaldhunga,Central Hills,1521.8,1534.4,1485.3,1426.5,100.8,97.6,93.7
Parasi,Western Terai,1708.2,1736.1,1666.9,1612.4,101.6,97.6,94.4
Lalitpur,Central Hills,1639.7,1653.8,1602.0,1541.1,100.9,97.7,94.0
Dhading,Central Hills,1619.6,1634.2,1581.9,1515.6,100.9,97.7,93.6
Rupandehi,Western Terai,1735.5,1764.5,1694.8,1638.1,101.7,97.7,94.4
Kathmandu,Central Hills,1640.2,1654.2,1602.5,1541.6,100.9,97.7,94.0
Gorkha,Central Hills,1573.0,1589.7,1536.1,1474.4,101.1,97.7,93.7
Nuwakot,Central Hills,1626.0,1636.8,1588.2,1518.6,100.7,97.7,93.4
Bhaktapur,Central Hills,1640.3,1654.3,1602.6,1541.7,100.9,97.7,94.0
Chitwan,Western Terai,1670.7,1698.0,1631.6,1578.4,101.6,97.7,94.5
Taplejung,Eastern Hills,1524.9,1545.1,1490.3,1433.0,101.3,97.7,94.0
Kavrepalanchok,Central Hills,1579.5,1586.9,1544.7,1483.6,100.5,97.8,93.9
Ramechhap,Eastern Hills,1613.2,1629.6,1577.2,1524.3,101.0,97.8,94.5
Rolpa,Mid-West Hills,1594.0,1605.9,1558.8,1494.1,100.7,97.8,93.7
Kapilvastu,Western Terai,1761.2,1789.3,1722.0,1664.4,101.6,97.8,94.5
Terhathum,Eastern Hills,1547.4,1573.6,1512.9,1472.7,101.7,97.8,95.2
Sindhupalchok,Central Hills,1518.9,1518.7,1485.4,1416.5,100.0,97.8,93.3
Saptari,Madhesh Terai,1673.2,1706.6,1635.8,1609.5,102.0,97.8,96.2
Sankhuwasabha,Eastern Mountain,1606.0,1618.1,1570.0,1505.4,100.7,97.8,93.7
Panchthar,Eastern Hills,1488.7,1516.7,1455.6,1415.8,101.9,97.8,95.1
Dang,Inner Terai,1788.2,1802.5,1750.3,1683.8,100.8,97.9,94.2
Ilam,Eastern Hills,1553.3,1584.3,1520.9,1495.9,102.0,97.9,96.3
Siraha,Eastern Terai,1740.4,1773.5,1703.9,1676.2,101.9,97.9,96.3
Rukum_East,Mid-West Hills,1622.5,1616.9,1588.4,1510.0,99.7,97.9,93.1
Makwanpur,Central Hills,1711.0,1737.3,1674.5,1626.9,101.5,97.9,95.1
Dolakha,Central Hills,1630.3,1628.6,1596.9,1526.6,99.9,97.9,93.6
Jajarkot,Mid-West Hills,1718.8,1717.2,1684.6,1612.4,99.9,98.0,93.8
Salyan,Mid-West Hills,1631.6,1637.3,1598.7,1536.0,100.3,98.0,94.1
Rasuwa,Central Hills,1705.5,1705.2,1672.2,1594.7,100.0,98.0,93.5
Mahottari,Madhesh Terai,1770.1,1803.7,1735.2,1703.8,101.9,98.0,96.3
Dhanusha,Madhesh Terai,1742.6,1776.8,1707.3,1677.3,102.0,98.0,96.3
Parsa,Madhesh Terai,1772.5,1804.2,1737.4,1696.1,101.8,98.0,95.7
Sarlahi,Madhesh Terai,1734.5,1765.2,1699.5,1663.3,101.8,98.0,95.9
Sindhuli,Central Hills,1643.2,1673.0,1610.1,1577.6,101.8,98.0,96.0
Morang,Eastern Terai,1633.9,1665.3,1600.9,1581.6,101.9,98.0,96.8
Solukhumbu,Central Hills,1636.9,1627.8,1606.2,1525.1,99.4,98.1,93.2
Bara,Madhesh Terai,1797.3,1829.8,1762.8,1727.2,101.8,98.1,96.1
Jhapa,Eastern Terai,1600.4,1629.9,1569.4,1552.9,101.8,98.1,97.0
Rautahat,Madhesh Terai,1788.3,1821.0,1753.6,1719.8,101.8,98.1,96.2
Surkhet,Mid-West Hills,1749.3,1751.0,1717.3,1650.1,100.1,98.2,94.3
Manang,High Mountain,1786.3,1774.8,1757.6,1677.7,99.4,98.4,93.9
Bardiya,Mid-West Terai,1798.4,1802.2,1769.3,1706.0,100.2,98.4,94.9
Dailekh,Mid-West Hills,1737.9,1735.3,1710.0,1647.0,99.9,98.4,94.8
Banke,Mid-West Terai,1813.4,1821.2,1783.6,1722.4,100.4,98.4,95.0
Rukum_West,Mid-West Hills,1644.1,1631.8,1619.1,1549.6,99.3,98.5,94.3
Baitadi,Far-West Hills,1678.3,1673.6,1654.7,1602.0,99.7,98.6,95.5
Kailali,Far-West Terai,1737.1,1737.5,1715.1,1663.0,100.0,98.7,95.7
Achham,Far-West Hills,1602.7,1601.9,1582.4,1535.6,100.0,98.7,95.8
Dadeldhura,Far-West Hills,1670.7,1668.6,1648.7,1599.7,99.9,98.7,95.7
Kalikot,Mid-West Hills,1690.6,1684.6,1668.2,1612.5,99.6,98.7,95.4
Doti,Far-West Hills,1607.9,1604.2,1589.2,1540.7,99.8,98.8,95.8
Kanchanpur,Far-West Terai,1737.4,1736.5,1716.2,1669.2,99.9,98.8,96.1
Mustang,High Mountain,1999.9,1987.1,1976.9,1909.2,99.4,98.9,95.5
Bajura,Far-West Hills,1662.6,1651.5,1644.7,1590.3,99.3,98.9,95.7
Bajhang,Far-West Hills,1491.9,1487.2,1477.2,1434.1,99.7,99.0,96.1
Darchula,Far-West Hills,1672.7,1664.5,1655.3,1608.0,99.5,99.0,96.1
Jumla,High Mountain,1843.5,1822.3,1827.4,1766.4,98.9,99.1,95.8
Dolpa,High Mountain,1818.5,1806.2,1803.9,1756.1,99.3,99.2,96.6
Humla,High Mountain,1748.5,1735.0,1738.1,1695.3,99.2,99.4,97.0
Mugu,High Mountain,1701.4,1684.8,1694.3,1661.8,99.0,99.6,97.7
