district,zone,ghi_mean,years_below_95pct,max_consecutive,trough_start,trough_end,risk_tier
Arghakhanchi,Western Hills,1649.0,2,2,2020.0,2021.0,Low
Baglung,Western Hills,1598.7,2,2,2020.0,2021.0,Low
Bhaktapur,Central Hills,1640.3,2,2,2020.0,2021.0,Low
Chitwan,Western Terai,1670.7,2,2,2020.0,2021.0,Low
Dang,Inner Terai,1788.2,2,2,2020.0,2021.0,Low
Dhading,Central Hills,1619.6,2,2,2020.0,2021.0,Low
Dolakha,Central Hills,1630.3,2,2,2020.0,2021.0,Low
Gorkha,Central Hills,1573.0,2,2,2020.0,2021.0,Low
Gulmi,Western Hills,1540.5,2,2,2020.0,2021.0,Low
Kapilvastu,Western Terai,1761.2,2,2,2020.0,2021.0,Low
Kaski,Western Hills,1600.4,2,2,2020.0,2021.0,Low
Kathmandu,Central Hills,1640.2,2,2,2020.0,2021.0,Low
Kavrepalanchok,Central Hills,1579.5,2,2,2020.0,2021.0,Low
Lalitpur,Central Hills,1639.7,2,2,2020.0,2021.0,Low
Lamjung,Western Hills,1597.0,2,2,2020.0,2021.0,Low
Makwanpur,Central Hills,1711.0,2,2,2020.0,2021.0,Low
Myagdi,Western Hills,1470.5,2,2,2020.0,2021.0,Low
Nawalpur,Inner Terai,1672.9,2,2,2020.0,2021.0,Low
Nuwakot,Central Hills,1626.0,2,2,2020.0,2021.0,Low
Palpa,Western Hills,1653.3,2,2,2020.0,2021.0,Low
Parasi,Western Terai,1708.2,2,2,2020.0,2021.0,Low
Parbat,Western Hills,1512.1,2,2,2020.0,2021.0,Low
Pyuthan,Mid-West Hills,1659.2,2,2,2020.0,2021.0,Low
Rolpa,Mid-West Hills,1594.0,2,2,2020.0,2021.0,Low
Rupandehi,Western Terai,1735.5,2,2,2020.0,2021.0,Low
Sindhupalchok,Central Hills,1518.9,2,2,2020.0,2021.0,Low
Solukhumbu,Central Hills,1636.9,2,2,2020.0,2021.0,Low
Syangja,Western Hills,1603.7,2,2,2020.0,2021.0,Low
Tanahun,Western Hills,1613.5,2,2,2020.0,2021.0,Low
Banke,Mid-West Terai,1813.4,1,1,2021.0,2021.0,Low
Bara,Madhesh Terai,1797.3,1,1,2020.0,2020.0,Low
Bardiya,Mid-West Terai,1798.4,1,1,2021.0,2021.0,Low
Bhojpur,Eastern Hills,1565.6,1,1,2020.0,2020.0,Low
Dailekh,Mid-West Hills,1737.9,1,1,2021.0,2021.0,Low
Dhankuta,Eastern Hills,1552.1,1,1,2020.0,2020.0,Low
Dhanusha,Madhesh Terai,1742.6,1,1,2020.0,2020.0,Low
Dolpa,High Mountain,1818.5,1,1,2021.0,2021.0,Low
Ilam,Eastern Hills,1553.3,1,1,2020.0,2020.0,Low
Jajarkot,Mid-West Hills,1718.8,1,1,2021.0,2021.0,Low
Jhapa,Eastern Terai,1600.4,1,1,2020.0,2020.0,Low
Jumla,High Mountain,1843.5,1,1,2021.0,2021.0,Low
Khotang,Eastern Hills,1522.2,1,1,2020.0,2020.0,Low
Mahottari,Madhesh Terai,1770.1,1,1,2020.0,2020.0,Low
Manang,High Mountain,1786.3,1,1,2021.0,2021.0,Low
Morang,Eastern Terai,1633.9,1,1,2020.0,2020.0,Low
Okhaldhunga,Central Hills,1521.8,1,1,2020.0,2020.0,Low
Panchthar,Eastern Hills,1488.7,1,1,2020.0,2020.0,Low
Parsa,Madhesh Terai,1772.5,1,1,2020.0,2020.0,Low
Ramechhap,Eastern Hills,1613.2,1,1,2020.0,2020.0,Low
Rasuwa,Central Hills,1705.5,1,1,2021.0,2021.0,Low
Rautahat,Madhesh Terai,1788.3,1,1,2020.0,2020.0,Low
Rukum_East,Mid-West Hills,1622.5,1,1,2021.0,2021.0,Low
Rukum_West,Mid-West Hills,1644.1,1,1,2021.0,2021.0,Low
Salyan,Mid-West Hills,1631.6,1,1,2021.0,2021.0,Low
Sankhuwasabha,Eastern Mountain,1606.0,1,1,2020.0,2020.0,Low
Saptari,Madhesh Terai,1673.2,1,1,2020.0,2020.0,Low
Sarlahi,Madhesh Terai,1734.5,1,1,2020.0,2020.0,Low
Sindhuli,Central Hills,1643.2,1,1,2020.0,2020.0,Low
Siraha,Eastern Terai,1740.4,1,1,2020.0,2020.0,Low
Sunsari,Eastern Terai,1580.1,1,1,2020.0,2020.0,Low
Surkhet,Mid-West Hills,1749.3,1,1,2021.0,2021.0,Low
Taplejung,Eastern Hills,1524.9,1,1,2020.0,2020.0,Low
Terhathum,Eastern Hills,1547.4,1,1,2020.0,2020.0,Low
Udayapur,Eastern Hills,1599.5,1,1,2020.0,2020.0,Low
Achham,Far-West Hills,1602.7,0,0,,,Low
Baitadi,Far-West Hills,1678.3,0,0,,,Low
Bajhang,Far-West Hills,1491.9,0,0,,,Low
Bajura,Far-West Hills,1662.6,0,0,,,Low
Dadeldhura,Far-West Hills,1670.7,0,0,,,Low
Darchula,Far-West Hills,1672.7,0,0,,,Low
Doti,Far-West Hills,1607.9,0,0,,,Low
Humla,High Mountain,1748.5,0,0,,,Low
Kailali,Far-West Terai,1737.1,0,0,,,Low
Kalikot,Mid-West Hills,1690.6,0,0,,,Low
Kanchanpur,Far-West Terai,1737.4,0,0,,,Low
Mugu,High Mountain,1701.4,0,0,,,Low
Mustang,High Mountain,1999.9,0,0,,,Low
