district,zone,pretrough_baseline,years_below_95pct,max_consecutive,risk_tier
Baglung,Western Hills,1630.0,4,2,Low
Arghakhanchi,Western Hills,1673.0,3,2,Low
Chitwan,Western Terai,1692.7,3,2,Low
Dang,Inner Terai,1811.8,3,2,Low
Gorkha,Central Hills,1595.5,3,2,Low
Gulmi,Western Hills,1567.8,3,2,Low
Kaski,Western Hills,1628.7,3,2,Low
Lamjung,Western Hills,1623.6,3,2,Low
Nawalpur,Inner Terai,1695.8,3,2,Low
Palpa,Western Hills,1680.0,3,2,Low
Parasi,Western Terai,1731.5,3,2,Low
Parbat,Western Hills,1541.0,3,2,Low
Pyuthan,Mid-West Hills,1685.3,3,2,Low
Rolpa,Mid-West Hills,1616.2,3,2,Low
Rukum_East,Mid-West Hills,1647.5,3,2,Low
Salyan,Mid-West Hills,1653.6,3,2,Low
Syangja,Western Hills,1629.7,3,2,Low
Tanahun,Western Hills,1637.5,3,2,Low
Banke,Mid-West Terai,1832.7,2,2,Low
Bara,Madhesh Terai,1814.9,2,2,Low
Bhaktapur,Central Hills,1663.9,2,2,Low
Dhading,Central Hills,1643.0,2,2,Low
Dolakha,Central Hills,1654.1,2,2,Low
Kapilvastu,Western Terai,1783.0,2,2,Low
Kathmandu,Central Hills,1663.8,2,2,Low
Kavrepalanchok,Central Hills,1602.3,2,2,Low
Lalitpur,Central Hills,1663.3,2,2,Low
Makwanpur,Central Hills,1731.3,2,2,Low
Myagdi,Western Hills,1497.5,2,2,Low
Nuwakot,Central Hills,1650.4,2,2,Low
Parsa,Madhesh Terai,1790.7,2,2,Low
Ramechhap,Eastern Hills,1635.1,2,2,Low
Rasuwa,Central Hills,1729.0,2,2,Low
Rupandehi,Western Terai,1758.3,2,2,Low
Sindhupalchok,Central Hills,1542.4,2,2,Low
Solukhumbu,Central Hills,1660.3,2,2,Low
Jajarkot,Mid-West Hills,1743.1,2,1,Low
Surkhet,Mid-West Hills,1771.4,2,1,Low
Bajura,Far-West Hills,1677.3,1,1,Low
Bardiya,Mid-West Terai,1818.0,1,1,Low
Bhojpur,Eastern Hills,1589.3,1,1,Low
Dailekh,Mid-West Hills,1757.9,1,1,Low
Dhankuta,Eastern Hills,1572.7,1,1,Low
Dhanusha,Madhesh Terai,1760.4,1,1,Low
Dolpa,High Mountain,1831.2,1,1,Low
Ilam,Eastern Hills,1569.8,1,1,Low
Jhapa,Eastern Terai,1616.1,1,1,Low
Jumla,High Mountain,1859.1,1,1,Low
Kailali,Far-West Terai,1752.4,1,1,Low
Kalikot,Mid-West Hills,1707.5,1,1,Low
Khotang,Eastern Hills,1546.8,1,1,Low
Mahottari,Madhesh Terai,1787.8,1,1,Low
Manang,High Mountain,1808.6,1,1,Low
Morang,Eastern Terai,1650.7,1,1,Low
Mustang,High Mountain,2018.5,1,1,Low
Okhaldhunga,Central Hills,1544.8,1,1,Low
Panchthar,Eastern Hills,1506.3,1,1,Low
Rautahat,Madhesh Terai,1806.0,1,1,Low
Rukum_West,Mid-West Hills,1664.1,1,1,Low
Sankhuwasabha,Eastern Mountain,1628.8,1,1,Low
Saptari,Madhesh Terai,1692.8,1,1,Low
Sarlahi,Madhesh Terai,1752.9,1,1,Low
Sindhuli,Central Hills,1660.4,1,1,Low
Siraha,Eastern Terai,1759.3,1,1,Low
Sunsari,Eastern Terai,1601.2,1,1,Low
Taplejung,Eastern Hills,1545.0,1,1,Low
Terhathum,Eastern Hills,1566.3,1,1,Low
Udayapur,Eastern Hills,1620.8,1,1,Low
Achham,Far-West Hills,1617.0,0,0,Low
Baitadi,Far-West Hills,1695.8,0,0,Low
Bajhang,Far-West Hills,1503.2,0,0,Low
Dadeldhura,Far-West Hills,1686.5,0,0,Low
Darchula,Far-West Hills,1686.5,0,0,Low
Doti,Far-West Hills,1621.8,0,0,Low
Humla,High Mountain,1758.4,0,0,Low
Kanchanpur,Far-West Terai,1752.4,0,0,Low
Mugu,High Mountain,1709.7,0,0,Low
