location,zone,ghi_mean,ghi_std,cov_pct
Baglung,Western Hills,1598.6942105263158,63.50072522033722,3.9720369788185925
Parbat,Western Hills,1512.0952631578948,59.2410021642687,3.917808858189822
Gulmi,Western Hills,1540.478947368421,59.52663651161528,3.864164233682246
Syangja,Western Hills,1603.6984210526316,61.65785182612897,3.844728598389349
Kaski,Western Hills,1600.4336842105265,61.358979620891326,3.8338970384242397
Palpa,Western Hills,1653.2878947368422,63.15466188290351,3.8199434039257874
Myagdi,Western Hills,1470.4794736842105,55.27153682539447,3.75874249280845
Tanahun,Western Hills,1613.5242105263158,59.88705270161953,3.7115682746455327
Lamjung,Western Hills,1597.0078947368422,58.828127114213764,3.6836466061370072
Nawalpur,Inner Terai,1672.9315789473685,60.37637711916056,3.6090165239842147
Gorkha,Central Hills,1573.0236842105264,56.06783750368103,3.5643352396070576
Parasi,Western Terai,1708.2026315789474,60.70053924729408,3.5534741678267174
Arghakhanchi,Western Hills,1648.9736842105262,58.481479614444936,3.5465380784681186
Chitwan,Western Terai,1670.7363157894736,59.241791574916476,3.5458492770550047
Pyuthan,Mid-West Hills,1659.1799999999998,58.630497373143776,3.533703237330717
Dhading,Central Hills,1619.5647368421053,56.33787815674892,3.4785814284027237
Rupandehi,Western Terai,1735.5478947368422,60.17907716686066,3.4674397260575454
Nuwakot,Central Hills,1626.048947368421,55.35484339892312,3.404254434561073
Kapilvastu,Western Terai,1761.157894736842,58.87583220255889,3.343018384581373
Dolakha,Central Hills,1630.326842105263,54.0859815533082,3.317493164957417
Rukum_East,Mid-West Hills,1622.5215789473684,53.47586685839987,3.295849346613499
Sindhupalchok,Central Hills,1518.9005263157894,49.989397928592396,3.2911567981245975
Bhaktapur,Central Hills,1640.2794736842106,53.9260215968428,3.2876118040860596
Kathmandu,Central Hills,1640.1868421052632,53.922091952972295,3.2875578908900733
Lalitpur,Central Hills,1639.6836842105263,53.90065575879446,3.2872593828819188
Kavrepalanchok,Central Hills,1579.4663157894738,51.74866871186439,3.276338861712195
Rolpa,Mid-West Hills,1593.998947368421,51.90713212552848,3.2564094356036724
Salyan,Mid-West Hills,1631.6247368421052,52.79102073989698,3.2354878881077935
Dang,Inner Terai,1788.1605263157896,57.81874633270237,3.2334203491130844
Solukhumbu,Central Hills,1636.9242105263158,52.432365568075696,3.2031028211878705
Jajarkot,Mid-West Hills,1718.8426315789475,54.805529307635204,3.188513497439277
Khotang,Eastern Hills,1522.1805263157894,48.24149256877483,3.169235956889828
Ramechhap,Eastern Hills,1613.171052631579,50.638196046368115,3.1390469078751204
Okhaldhunga,Central Hills,1521.7715789473684,47.723229873832416,3.136031092579825
Makwanpur,Central Hills,1711.002105263158,52.95444169587318,3.0949372612097754
Surkhet,Mid-West Hills,1749.2878947368422,53.66834175221698,3.0680108124964014
Bhojpur,Eastern Hills,1565.637894736842,47.56518539844348,3.038070652118343
Manang,High Mountain,1786.2652631578949,53.17048924277252,2.9766289665608623
Parsa,Madhesh Terai,1772.4863157894736,52.411099991692396,2.956925507678645
Udayapur,Eastern Hills,1599.465789473684,47.184167226328185,2.9499954007678078
Rasuwa,Central Hills,1705.5431578947369,49.96322881798306,2.9294614203522076
Baitadi,Far-West Hills,1678.3347368421053,49.03517721078988,2.9216565762711153
Sunsari,Eastern Terai,1580.136842105263,45.39387563349519,2.87278129487922
Sindhuli,Central Hills,1643.1942105263158,47.17504852683001,2.870935658403995
Sankhuwasabha,Eastern Mountain,1606.008947368421,45.97296341869937,2.8625596074062907
Banke,Mid-West Terai,1813.3984210526316,51.74885047173698,2.8536944706115985
Sarlahi,Madhesh Terai,1734.5105263157893,49.4674188480193,2.8519526458620716
Dhankuta,Eastern Hills,1552.0884210526317,43.987960886178584,2.8341143642026396
Dailekh,Mid-West Hills,1737.8647368421052,49.06385129699428,2.8232261266862917
Panchthar,Eastern Hills,1488.7194736842107,41.911261477036106,2.815255809969097
Bardiya,Mid-West Terai,1798.3952631578948,50.466248827907066,2.80618225935998
Rukum_West,Mid-West Hills,1644.1126315789472,46.09096607580683,2.8033946817586766
Saptari,Madhesh Terai,1673.2384210526316,46.773657859853614,2.79539707380305
Siraha,Eastern Terai,1740.3747368421054,48.599475004985784,2.7924718726479045
Dhanusha,Madhesh Terai,1742.5726315789473,48.494715616137555,2.782937981310795
Terhathum,Eastern Hills,1547.3663157894737,42.99013248674704,2.7782776481607243
Bara,Madhesh Terai,1797.2857894736842,49.85234423506073,2.7737572136293056
Mahottari,Madhesh Terai,1770.125789473684,48.633522425470886,2.7474613789978855
Taplejung,Eastern Hills,1524.8647368421052,41.83781162861348,2.7437064165610416
Rautahat,Madhesh Terai,1788.2931578947369,48.865711456402,2.7325336028198546
Ilam,Eastern Hills,1553.3168421052633,41.31381152601414,2.6597156746218062
Dadeldhura,Far-West Hills,1670.703157894737,44.060171615723675,2.6372232199072494
Achham,Far-West Hills,1602.66,41.42249214563935,2.5846088468944974
Kalikot,Mid-West Hills,1690.628947368421,43.33444022877784,2.5632141396981782
Morang,Eastern Terai,1633.8768421052632,41.48210217171736,2.5388757036465086
Jhapa,Eastern Terai,1600.3573684210526,40.395027037455094,2.524125413145047
Kanchanpur,Far-West Terai,1737.4042105263159,42.66528660734095,2.45569144755418
Darchula,Far-West Hills,1672.6726315789474,41.07355703046062,2.4555646009278305
Jumla,High Mountain,1843.5384210526317,44.85479985007893,2.433081911277311
Kailali,Far-West Terai,1737.0794736842106,42.10830288588965,2.424086147111117
Mustang,High Mountain,1999.8510526315788,48.00527979003246,2.400442759317646
Bajura,Far-West Hills,1662.5673684210526,39.698455027607224,2.3877802356549926
Doti,Far-West Hills,1607.91,38.27485292808664,2.3804101553001495
Dolpa,High Mountain,1818.4989473684209,41.94419359825845,2.3065283408030877
Bajhang,Far-West Hills,1491.9284210526316,33.103951469937485,2.2188699540009402
Mugu,High Mountain,1701.4015789473685,37.32373749642116,2.1937053520023646
Humla,High Mountain,1748.463157894737,33.95319475274948,1.9418879145060928
