zone,districts,ghi_mean,net_change_mean,downside_mean,cov_mean,p90_p50_mean,max_consec_mean,high_risk_count
High Mountain,6,1816.336403508772,99.2,99.10000000000001,2.3753792074112274,0.969547638560988,0.5,0
Mid-West Terai,2,1805.8968421052632,100.30000000000001,98.4,2.8299383649857894,0.9637201901608823,1.0,0
Madhesh Terai,7,1754.0732330827068,101.87142857142858,98.0,2.8058522005859436,0.9640289747884881,1.0,0
Far-West Terai,2,1737.2418421052632,99.95,98.75,2.4398887973326486,0.9687206256181955,0.0,0
Inner Terai,2,1730.546052631579,101.19999999999999,97.75,3.4212184365486493,0.9561399796434463,2.0,0
Western Terai,4,1718.9111842105262,101.625,97.7,3.47744538888016,0.9554191501145564,2.0,0
Mid-West Hills,9,1672.0069005847952,100.04444444444444,98.11111111111111,3.085312129526056,0.960446298499476,1.1111111111111112,0
Eastern Terai,4,1638.686447368421,101.9,97.875,2.68206357107967,0.9656159450187587,1.0,0
Far-West Hills,7,1626.6823308270677,99.7,98.81428571428572,2.512301941279539,0.9677922891127962,0.0,0
Central Hills,14,1620.4225939849623,100.66428571428571,97.80714285714285,3.2449326613540563,0.9583999632814411,1.7857142857142858,0
Eastern Mountain,1,1606.008947368421,100.7,97.8,2.8625596074062907,0.9633019858330514,1.0,0
Western Hills,10,1583.8673684210526,100.85,97.32000000000001,3.7953074563489144,0.951344158409607,2.0,0
Eastern Hills,9,1551.867894736842,101.62222222222222,97.64444444444445,2.9030465367962677,0.9627829433982718,1.0,0
