district_name,zone,year,ghi_annual,yoy_change,yoy_pct_change
Achham,"Far-West Hills",2005,1651.19,NULL,NULL
Achham,"Far-West Hills",2006,1623.14,-28.05,-1.70
Achham,"Far-West Hills",2007,1558.15,-64.99,-4.00
Achham,"Far-West Hills",2008,1579.06,20.91,1.34
Achham,"Far-West Hills",2009,1693.24,114.18,7.23
Achham,"Far-West Hills",2010,1651.06,-42.18,-2.49
Achham,"Far-West Hills",2011,1570.68,-80.38,-4.87
Achham,"Far-West Hills",2012,1655.14,84.46,5.38
Achham,"Far-West Hills",2013,1546.92,-108.22,-6.54
Achham,"Far-West Hills",2014,1641.30,94.38,6.10
Achham,"Far-West Hills",2015,1615.10,-26.20,-1.60
Achham,"Far-West Hills",2016,1582.33,-32.77,-2.03
Achham,"Far-West Hills",2017,1587.98,5.65,0.36
Achham,"Far-West Hills",2018,1596.36,8.38,0.53
Achham,"Far-West Hills",2019,1593.70,-2.66,-0.17
Achham,"Far-West Hills",2020,1563.61,-30.09,-1.89
Achham,"Far-West Hills",2021,1537.73,-25.88,-1.66
Achham,"Far-West Hills",2022,1603.05,65.32,4.25
Achham,"Far-West Hills",2023,1600.80,-2.25,-0.14
Arghakhanchi,"Western Hills",2005,1728.57,NULL,NULL
Arghakhanchi,"Western Hills",2006,1700.26,-28.31,-1.64
Arghakhanchi,"Western Hills",2007,1602.21,-98.05,-5.77
Arghakhanchi,"Western Hills",2008,1632.65,30.44,1.90
Arghakhanchi,"Western Hills",2009,1733.34,100.69,6.17
Arghakhanchi,"Western Hills",2010,1689.60,-43.74,-2.52
Arghakhanchi,"Western Hills",2011,1644.26,-45.34,-2.68
Arghakhanchi,"Western Hills",2012,1750.08,105.82,6.44
Arghakhanchi,"Western Hills",2013,1583.99,-166.09,-9.49
Arghakhanchi,"Western Hills",2014,1665.27,81.28,5.13
Arghakhanchi,"Western Hills",2015,1642.95,-22.32,-1.34
Arghakhanchi,"Western Hills",2016,1601.91,-41.04,-2.50
Arghakhanchi,"Western Hills",2017,1620.92,19.01,1.19
Arghakhanchi,"Western Hills",2018,1647.62,26.70,1.65
Arghakhanchi,"Western Hills",2019,1640.56,-7.06,-0.43
Arghakhanchi,"Western Hills",2020,1551.84,-88.72,-5.41
Arghakhanchi,"Western Hills",2021,1546.69,-5.15,-0.33
Arghakhanchi,"Western Hills",2022,1639.31,92.62,5.99
Arghakhanchi,"Western Hills",2023,1708.47,69.16,4.22
Baglung,"Western Hills",2005,1685.56,NULL,NULL
Baglung,"Western Hills",2006,1659.53,-26.03,-1.54
Baglung,"Western Hills",2007,1554.67,-104.86,-6.32
Baglung,"Western Hills",2008,1597.31,42.64,2.74
Baglung,"Western Hills",2009,1700.22,102.91,6.44
Baglung,"Western Hills",2010,1648.46,-51.76,-3.04
Baglung,"Western Hills",2011,1563.06,-85.40,-5.18
Baglung,"Western Hills",2012,1705.21,142.15,9.09
Baglung,"Western Hills",2013,1547.11,-158.10,-9.27
Baglung,"Western Hills",2014,1638.95,91.84,5.94
Baglung,"Western Hills",2015,1599.12,-39.83,-2.43
Baglung,"Western Hills",2016,1539.07,-60.05,-3.76
Baglung,"Western Hills",2017,1590.89,51.82,3.37
Baglung,"Western Hills",2018,1567.59,-23.30,-1.46
Baglung,"Western Hills",2019,1590.77,23.18,1.48
Baglung,"Western Hills",2020,1499.44,-91.33,-5.74
Baglung,"Western Hills",2021,1480.45,-18.99,-1.27
Baglung,"Western Hills",2022,1579.59,99.14,6.70
Baglung,"Western Hills",2023,1628.19,48.60,3.08
Baitadi,"Far-West Hills",2005,1718.73,NULL,NULL
Baitadi,"Far-West Hills",2006,1718.35,-0.38,-0.02
Baitadi,"Far-West Hills",2007,1640.71,-77.64,-4.52
Baitadi,"Far-West Hills",2008,1639.15,-1.56,-0.10
Baitadi,"Far-West Hills",2009,1798.41,159.26,9.72
Baitadi,"Far-West Hills",2010,1741.06,-57.35,-3.19
Baitadi,"Far-West Hills",2011,1621.38,-119.68,-6.87
Baitadi,"Far-West Hills",2012,1736.80,115.42,7.12
