district_name,year,ghi_annual,rolling_3yr_avg
Achham,2005,1651.19,1651.2
Achham,2006,1623.14,1637.2
Achham,2007,1558.15,1610.8
Achham,2008,1579.06,1586.8
Achham,2009,1693.24,1610.2
Achham,2010,1651.06,1641.1
Achham,2011,1570.68,1638.3
Achham,2012,1655.14,1625.6
Achham,2013,1546.92,1590.9
Achham,2014,1641.30,1614.5
Achham,2015,1615.10,1601.1
Achham,2016,1582.33,1612.9
Achham,2017,1587.98,1595.1
Achham,2018,1596.36,1588.9
Achham,2019,1593.70,1592.7
Achham,2020,1563.61,1584.6
Achham,2021,1537.73,1565.0
Achham,2022,1603.05,1568.1
Achham,2023,1600.80,1580.5
Arghakhanchi,2005,1728.57,1728.6
Arghakhanchi,2006,1700.26,1714.4
Arghakhanchi,2007,1602.21,1677.0
Arghakhanchi,2008,1632.65,1645.0
Arghakhanchi,2009,1733.34,1656.1
Arghakhanchi,2010,1689.60,1685.2
Arghakhanchi,2011,1644.26,1689.1
Arghakhanchi,2012,1750.08,1694.6
Arghakhanchi,2013,1583.99,1659.4
Arghakhanchi,2014,1665.27,1666.4
Arghakhanchi,2015,1642.95,1630.7
Arghakhanchi,2016,1601.91,1636.7
Arghakhanchi,2017,1620.92,1621.9
Arghakhanchi,2018,1647.62,1623.5
Arghakhanchi,2019,1640.56,1636.4
Arghakhanchi,2020,1551.84,1613.3
Arghakhanchi,2021,1546.69,1579.7
Arghakhanchi,2022,1639.31,1579.3
Arghakhanchi,2023,1708.47,1631.5
Baglung,2005,1685.56,1685.6
Baglung,2006,1659.53,1672.5
Baglung,2007,1554.67,1633.3
Baglung,2008,1597.31,1603.8
Baglung,2009,1700.22,1617.4
Baglung,2010,1648.46,1648.7
Baglung,2011,1563.06,1637.2
Baglung,2012,1705.21,1638.9
Baglung,2013,1547.11,1605.1
Baglung,2014,1638.95,1630.4
Baglung,2015,1599.12,1595.1
Baglung,2016,1539.07,1592.4
Baglung,2017,1590.89,1576.4
Baglung,2018,1567.59,1565.9
Baglung,2019,1590.77,1583.1
Baglung,2020,1499.44,1552.6
Baglung,2021,1480.45,1523.6
Baglung,2022,1579.59,1519.8
Baglung,2023,1628.19,1562.7
Baitadi,2005,1718.73,1718.7
Baitadi,2006,1718.35,1718.5
Baitadi,2007,1640.71,1692.6
Baitadi,2008,1639.15,1666.1
Baitadi,2009,1798.41,1692.8
Baitadi,2010,1741.06,1726.2
Baitadi,2011,1621.38,1720.3
Baitadi,2012,1736.80,1699.7
Baitadi,2013,1621.60,1659.9
Baitadi,2014,1722.14,1693.5
Baitadi,2015,1682.10,1675.3
Baitadi,2016,1645.63,1683.3
Baitadi,2017,1654.07,1660.6
Baitadi,2018,1651.74,1650.5
Baitadi,2019,1681.49,1662.4
Baitadi,2020,1647.11,1660.1
Baitadi,2021,1620.78,1649.8
Baitadi,2022,1663.05,1643.6
Baitadi,2023,1684.06,1656.0
Bajhang,2005,1518.86,1518.9
Bajhang,2006,1506.89,1512.9
Bajhang,2007,1465.85,1497.2
Bajhang,2008,1477.33,1483.4
Bajhang,2009,1576.61,1506.6
Bajhang,2010,1537.50,1530.5
Bajhang,2011,1457.91,1524.0
Bajhang,2012,1512.02,1502.5
Bajhang,2013,1463.97,1478.0
Bajhang,2014,1515.17,1497.1
Bajhang,2015,1524.23,1501.1
Bajhang,2016,1484.08,1507.8
Bajhang,2017,1463.29,1490.5
Bajhang,2018,1474.68,1474.0
Bajhang,2019,1484.50,1474.2
Bajhang,2020,1470.90,1476.7
Bajhang,2021,1438.48,1464.6
Bajhang,2022,1495.28,1468.2
Bajhang,2023,1479.09,1471.0
Bajura,2005,1697.02,1697.0
Bajura,2006,1677.10,1687.1
Bajura,2007,1635.23,1669.8
Bajura,2008,1645.82,1652.7
Bajura,2009,1747.99,1676.3
Bajura,2010,1705.63,1699.8
Bajura,2011,1630.71,1694.8
Bajura,2012,1694.22,1676.9
Bajura,2013,1623.82,1649.6
Bajura,2014,1715.17,1677.7
Bajura,2015,1700.32,1679.8
Bajura,2016,1645.09,1686.9
Bajura,2017,1636.84,1660.8
Bajura,2018,1656.01,1646.0
Bajura,2019,1652.15,1648.3
Bajura,2020,1642.30,1650.2
Bajura,2021,1580.29,1624.9
Bajura,2022,1667.92,1630.2
Bajura,2023,1635.15,1627.8
Banke,2005,1863.40,1863.4
Banke,2006,1868.70,1866.1
Banke,2007,1782.70,1838.3
Banke,2008,1769.62,1807.0
Banke,2009,1900.62,1817.6
Banke,2010,1828.98,1833.1
Banke,2011,1818.58,1849.4
Banke,2012,1891.84,1846.5
Banke,2013,1745.31,1818.6
Banke,2014,1856.99,1831.4
Banke,2015,1815.11,1805.8
Banke,2016,1786.75,1819.6
Banke,2017,1813.92,1805.3
Banke,2018,1840.25,1813.6
Banke,2019,1782.18,1812.1
Banke,2020,1739.29,1787.2
Banke,2021,1707.84,1743.1
Banke,2022,1816.13,1754.4
Banke,2023,1826.36,1783.4
Bara,2005,1850.28,1850.3
Bara,2006,1845.31,1847.8
Bara,2007,1748.53,1814.7
Bara,2008,1773.71,1789.2
Bara,2009,1861.12,1794.5
Bara,2010,1835.69,1823.5
Bara,2011,1778.80,1825.2
Bara,2012,1885.89,1833.5
Bara,2013,1779.36,1814.7
Bara,2014,1790.32,1818.5
Bara,2015,1791.85,1787.2
Bara,2016,1752.70,1778.3
Bara,2017,1771.57,1772.0
Bara,2018,1816.26,1780.2
Bara,2019,1794.61,1794.1
Bara,2020,1695.15,1768.7
Bara,2021,1717.78,1735.8
Bara,2022,1811.47,1741.5
Bara,2023,1848.03,1792.4
Bardiya,2005,1850.83,1850.8
Bardiya,2006,1851.28,1851.1
Bardiya,2007,1770.32,1824.1
Bardiya,2008,1756.48,1792.7
Bardiya,2009,1886.09,1804.3
Bardiya,2010,1821.02,1821.2
Bardiya,2011,1797.77,1835.0
Bardiya,2012,1872.19,1830.3
Bardiya,2013,1727.73,1799.2
Bardiya,2014,1845.89,1815.3
Bardiya,2015,1795.97,1789.9
Bardiya,2016,1770.20,1804.0
Bardiya,2017,1803.12,1789.8
Bardiya,2018,1814.79,1796.0
Bardiya,2019,1770.40,1796.1
Bardiya,2020,1737.86,1774.4
Bardiya,2021,1693.08,1733.8
Bardiya,2022,1792.42,1741.1
Bardiya,2023,1812.07,1765.9
Bhaktapur,2005,1722.89,1722.9
Bhaktapur,2006,1678.43,1700.7
Bhaktapur,2007,1584.33,1661.9
Bhaktapur,2008,1630.27,1631.0
Bhaktapur,2009,1707.39,1640.7
Bhaktapur,2010,1684.88,1674.2
Bhaktapur,2011,1623.79,1672.0
Bhaktapur,2012,1745.69,1684.8
Bhaktapur,2013,1606.46,1658.6
Bhaktapur,2014,1654.70,1669.0
Bhaktapur,2015,1629.20,1630.1
Bhaktapur,2016,1589.57,1624.5
Bhaktapur,2017,1629.70,1616.2
Bhaktapur,2018,1642.27,1620.5
Bhaktapur,2019,1626.13,1632.7
Bhaktapur,2020,1549.14,1605.8
Bhaktapur,2021,1551.91,1575.7
Bhaktapur,2022,1621.97,1574.3
Bhaktapur,2023,1686.59,1620.2
Bhojpur,2005,1644.05,1644.1
Bhojpur,2006,1623.46,1633.8
Bhojpur,2007,1536.70,1601.4
Bhojpur,2008,1567.62,1575.9
Bhojpur,2009,1590.13,1564.8
Bhojpur,2010,1582.46,1580.1
Bhojpur,2011,1553.54,1575.4
Bhojpur,2012,1650.56,1595.5
Bhojpur,2013,1561.90,1588.7
Bhojpur,2014,1582.79,1598.4
Bhojpur,2015,1540.84,1561.8
Bhojpur,2016,1526.27,1550.0
Bhojpur,2017,1546.61,1537.9
Bhojpur,2018,1516.13,1529.7
Bhojpur,2019,1550.32,1537.7
Bhojpur,2020,1458.06,1508.2
Bhojpur,2021,1535.55,1514.6
Bhojpur,2022,1551.61,1515.1
Bhojpur,2023,1628.52,1571.9
Chitwan,2005,1749.46,1749.5
Chitwan,2006,1718.88,1734.2
Chitwan,2007,1602.05,1690.1
Chitwan,2008,1660.81,1660.6
Chitwan,2009,1745.80,1669.6
Chitwan,2010,1713.41,1706.7
Chitwan,2011,1648.01,1702.4
Chitwan,2012,1783.33,1714.9
Chitwan,2013,1625.13,1685.5
Chitwan,2014,1679.89,1696.1
Chitwan,2015,1664.81,1656.6
Chitwan,2016,1627.92,1657.5
Chitwan,2017,1653.06,1648.6
Chitwan,2018,1665.39,1648.8
Chitwan,2019,1672.17,1663.5
Chitwan,2020,1568.71,1635.4
Chitwan,2021,1569.18,1603.4
Chitwan,2022,1661.88,1599.9
Chitwan,2023,1734.10,1655.1
Dadeldhura,2005,1717.37,1717.4
Dadeldhura,2006,1701.41,1709.4
Dadeldhura,2007,1627.39,1682.1
Dadeldhura,2008,1636.95,1655.3
Dadeldhura,2009,1775.90,1680.1
Dadeldhura,2010,1724.86,1712.6
Dadeldhura,2011,1632.44,1711.1
Dadeldhura,2012,1726.34,1694.5
Dadeldhura,2013,1617.08,1658.6
Dadeldhura,2014,1705.70,1683.0
Dadeldhura,2015,1674.64,1665.8
Dadeldhura,2016,1646.54,1675.6
Dadeldhura,2017,1653.33,1658.2
Dadeldhura,2018,1654.75,1651.5
Dadeldhura,2019,1664.04,1657.4
Dadeldhura,2020,1635.70,1651.5
Dadeldhura,2021,1611.80,1637.2
Dadeldhura,2022,1657.51,1635.0
Dadeldhura,2023,1679.61,1649.6
Dailekh,2005,1788.04,1788.0
Dailekh,2006,1769.50,1778.8
Dailekh,2007,1704.69,1754.1
Dailekh,2008,1707.15,1727.1
Dailekh,2009,1834.34,1748.7
Dailekh,2010,1788.81,1776.8
Dailekh,2011,1715.39,1779.5
Dailekh,2012,1804.70,1769.6
Dailekh,2013,1671.23,1730.4
Dailekh,2014,1795.07,1757.0
Dailekh,2015,1746.39,1737.6
Dailekh,2016,1708.01,1749.8
Dailekh,2017,1726.72,1727.0
Dailekh,2018,1743.94,1726.2
Dailekh,2019,1712.33,1727.7
Dailekh,2020,1689.97,1715.4
Dailekh,2021,1642.52,1681.6
Dailekh,2022,1733.56,1688.7
Dailekh,2023,1737.07,1704.4
Dang,2005,1854.75,1854.8
Dang,2006,1837.40,1846.1
Dang,2007,1747.16,1813.1
Dang,2008,1758.28,1780.9
Dang,2009,1880.37,1795.3
Dang,2010,1822.37,1820.3
Dang,2011,1787.27,1830.0
Dang,2012,1883.20,1830.9
Dang,2013,1711.33,1793.9
Dang,2014,1835.51,1810.0
Dang,2015,1784.42,1777.1
Dang,2016,1748.71,1789.5
Dang,2017,1775.11,1769.4
Dang,2018,1805.00,1776.3
Dang,2019,1765.58,1781.9
Dang,2020,1697.26,1755.9
Dang,2021,1676.36,1713.1
Dang,2022,1792.90,1722.2
Dang,2023,1812.07,1760.4
Darchula,2005,1704.09,1704.1
Darchula,2006,1696.94,1700.5
Darchula,2007,1645.40,1682.1
Darchula,2008,1639.53,1660.6
Darchula,2009,1778.75,1687.9
Darchula,2010,1730.99,1716.4
Darchula,2011,1620.96,1710.2
Darchula,2012,1710.21,1687.4
Darchula,2013,1634.06,1655.1
Darchula,2014,1703.64,1682.6
Darchula,2015,1697.11,1678.3
Darchula,2016,1653.34,1684.7
Darchula,2017,1635.74,1662.1
Darchula,2018,1648.09,1645.7
Darchula,2019,1671.27,1651.7
Darchula,2020,1658.82,1659.4
Darchula,2021,1622.91,1651.0
Darchula,2022,1667.45,1649.7
Darchula,2023,1661.48,1650.6
Dhading,2005,1703.69,1703.7
Dhading,2006,1657.67,1680.7
Dhading,2007,1561.13,1640.8
Dhading,2008,1618.30,1612.4
Dhading,2009,1690.26,1623.2
Dhading,2010,1663.83,1657.5
Dhading,2011,1601.07,1651.7
Dhading,2012,1722.84,1662.6
Dhading,2013,1574.47,1632.8
Dhading,2014,1637.00,1644.8
Dhading,2015,1620.56,1610.7
Dhading,2016,1575.36,1611.0
Dhading,2017,1614.58,1603.5
Dhading,2018,1606.28,1598.7
Dhading,2019,1615.24,1612.0
