district_name,zone,ghi_2005,ghi_2023,pct_change,decline_rank
Rukum_East,"Mid-West Hills",1687.61,1611.69,-4.50,1
Solukhumbu,"Central Hills",1727.25,1657.68,-4.03,2
Dolpa,"High Mountain",1881.12,1809.13,-3.83,3
Bajura,"Far-West Hills",1697.02,1635.15,-3.65,4
Parbat,"Western Hills",1594.62,1536.94,-3.62,5
Sindhupalchok,"Central Hills",1595.86,1541.21,-3.42,6
Baglung,"Western Hills",1685.56,1628.19,-3.40,7
Rukum_West,"Mid-West Hills",1685.23,1628.42,-3.37,8
Mustang,"High Mountain",2075.09,2007.31,-3.27,9
Kalikot,"Mid-West Hills",1733.63,1677.31,-3.25,10
Manang,"High Mountain",1868.01,1807.94,-3.22,11
Jumla,"High Mountain",1875.09,1814.80,-3.22,12
Jajarkot,"Mid-West Hills",1776.91,1720.12,-3.20,13
Myagdi,"Western Hills",1543.52,1496.20,-3.07,14
Achham,"Far-West Hills",1651.19,1600.80,-3.05,15
Rasuwa,"Central Hills",1781.05,1726.83,-3.04,16
Dolakha,"Central Hills",1712.11,1663.29,-2.85,17
Dailekh,"Mid-West Hills",1788.04,1737.07,-2.85,18
Salyan,"Mid-West Hills",1690.11,1642.27,-2.83,19
Bajhang,"Far-West Hills",1518.86,1479.09,-2.62,20
Pyuthan,"Mid-West Hills",1738.23,1693.58,-2.57,21
Doti,"Far-West Hills",1644.40,1602.27,-2.56,22
Rolpa,"Mid-West Hills",1662.37,1620.28,-2.53,23
Nuwakot,"Central Hills",1712.21,1669.36,-2.50,24
Darchula,"Far-West Hills",1704.09,1661.48,-2.50,25
Lamjung,"Western Hills",1679.77,1638.21,-2.47,26
Kailali,"Far-West Terai",1787.71,1743.71,-2.46,27
Surkhet,"Mid-West Hills",1805.46,1761.98,-2.41,28
Kaski,"Western Hills",1685.88,1645.36,-2.40,29
Gulmi,"Western Hills",1622.46,1584.53,-2.34,30
Dang,"Inner Terai",1854.75,1812.07,-2.30,31
Kavrepalanchok,"Central Hills",1656.78,1619.28,-2.26,32
Okhaldhunga,"Central Hills",1605.99,1570.02,-2.24,33
Dadeldhura,"Far-West Hills",1717.37,1679.61,-2.20,34
Kanchanpur,"Far-West Terai",1787.94,1749.18,-2.17,35
Kathmandu,"Central Hills",1722.78,1686.46,-2.11,36
Bhaktapur,"Central Hills",1722.89,1686.59,-2.11,37
Lalitpur,"Central Hills",1722.26,1685.98,-2.11,38
Bardiya,"Mid-West Terai",1850.83,1812.07,-2.09,39
Baitadi,"Far-West Hills",1718.73,1684.06,-2.02,40
Banke,"Mid-West Terai",1863.40,1826.36,-1.99,41
Dhading,"Central Hills",1703.69,1669.87,-1.99,42
Sankhuwasabha,"Eastern Mountain",1685.42,1652.26,-1.97,43
Gorkha,"Central Hills",1654.68,1626.05,-1.73,44
Taplejung,"Eastern Hills",1594.19,1568.61,-1.60,45
Mugu,"High Mountain",1730.43,1702.98,-1.59,46
Humla,"High Mountain",1756.56,1729.91,-1.52,47
Syangja,"Western Hills",1687.07,1663.20,-1.41,48
Tanahun,"Western Hills",1696.49,1673.67,-1.35,49
Palpa,"Western Hills",1739.87,1716.57,-1.34,50
Ramechhap,"Eastern Hills",1689.46,1667.20,-1.32,51
Arghakhanchi,"Western Hills",1728.57,1708.47,-1.16,52
Khotang,"Eastern Hills",1602.45,1584.07,-1.15,53
Bhojpur,"Eastern Hills",1644.05,1628.52,-0.94,54
Nawalpur,"Inner Terai",1751.60,1735.78,-0.90,55
Chitwan,"Western Terai",1749.46,1734.10,-0.88,56
Parasi,"Western Terai",1786.63,1771.45,-0.85,57
Kapilvastu,"Western Terai",1836.58,1822.17,-0.78,58
Makwanpur,"Central Hills",1780.99,1767.06,-0.78,59
Rupandehi,"Western Terai",1813.71,1799.71,-0.77,60
Dhankuta,"Eastern Hills",1621.99,1611.33,-0.66,61
Panchthar,"Eastern Hills",1553.95,1545.12,-0.57,62
Terhathum,"Eastern Hills",1614.57,1606.21,-0.52,63
Parsa,"Madhesh Terai",1833.27,1824.68,-0.47,64
Bara,"Madhesh Terai",1850.28,1848.03,-0.12,65
Sarlahi,"Madhesh Terai",1794.25,1796.90,0.15,66
Sindhuli,"Central Hills",1702.29,1705.66,0.20,67
Rautahat,"Madhesh Terai",1839.52,1844.21,0.25,68
Mahottari,"Madhesh Terai",1821.97,1829.95,0.44,69
Dhanusha,"Madhesh Terai",1796.77,1805.48,0.48,70
Udayapur,"Eastern Hills",1658.10,1667.73,0.58,71
Sunsari,"Eastern Terai",1638.98,1649.10,0.62,72
Siraha,"Eastern Terai",1785.19,1799.61,0.81,73
Ilam,"Eastern Hills",1604.30,1621.38,1.06,74
Saptari,"Madhesh Terai",1713.15,1739.74,1.55,75
Morang,"Eastern Terai",1669.54,1703.22,2.02,76
Jhapa,"Eastern Terai",1632.49,1672.80,2.47,77
