district_name,max_consecutive_years_below_threshold
Bhaktapur,2
Arghakhanchi,2
Baglung,2
Lamjung,2
Solukhumbu,2
Syangja,2
Kapilvastu,2
Kaski,2
Kathmandu,2
Nuwakot,2
Kavrepalanchok,2
Chitwan,2
Tanahun,2
Lalitpur,2
Dang,2
Sindhupalchok,2
Dhading,2
Makwanpur,2
Myagdi,2
Dolakha,2
Nawalpur,2
Palpa,2
Gorkha,2
Gulmi,2
Parasi,2
Parbat,2
Pyuthan,2
Rolpa,2
Rupandehi,2
Bhojpur,1
Sarlahi,1
Sindhuli,1
Banke,1
Bara,1
Bardiya,1
Dolpa,1
Dhanusha,1
Dailekh,1
Siraha,1
Dhankuta,1
Okhaldhunga,1
Sunsari,1
Surkhet,1
Morang,1
Ilam,1
Jajarkot,1
Jhapa,1
Jumla,1
Panchthar,1
Taplejung,1
Khotang,1
Terhathum,1
Udayapur,1
Parsa,1
Mahottari,1
Ramechhap,1
Rasuwa,1
Rautahat,1
Manang,1
Rukum_East,1
Rukum_West,1
Salyan,1
Sankhuwasabha,1
Saptari,1
Bajhang,0
Bajura,0
Dadeldhura,0
Darchula,0
Achham,0
Baitadi,0
Doti,0
Humla,0
Kalikot,0
Kanchanpur,0
Mugu,0
Mustang,0
Kailali,0
