district_name,empirical_p50,empirical_p90
Mustang,1990.23,1962.24
Jumla,1829.89,1811.54
Banke,1816.13,1745.31
Dolpa,1808.54,1787.45
Bardiya,1797.77,1737.86
Bara,1791.85,1748.53
Dang,1787.27,1711.33
Manang,1783.96,1737.42
Rautahat,1780.18,1743.21
Parsa,1767.27,1717.71
Mahottari,1760.14,1723.44
Kapilvastu,1758.95,1695.02
Surkhet,1747.21,1689.71
Humla,1741.57,1729.10
Kailali,1735.56,1696.01
Dailekh,1733.56,1689.97
Siraha,1731.98,1695.99
Dhanusha,1731.64,1695.18
Kanchanpur,1731.29,1697.14
Rupandehi,1729.20,1674.75
Sarlahi,1728.47,1688.48
Jajarkot,1714.30,1656.17
Rasuwa,1706.72,1666.75
Makwanpur,1704.59,1655.41
Parasi,1700.69,1640.37
Mugu,1679.53,1671.57
Kalikot,1677.31,1655.71
Saptari,1665.58,1631.07
Nawalpur,1665.01,1599.58
Chitwan,1664.81,1602.05
Baitadi,1663.05,1621.60
Darchula,1661.48,1634.06
Dadeldhura,1657.51,1627.39
Pyuthan,1652.47,1593.58
Bajura,1652.15,1630.71
Arghakhanchi,1642.95,1583.99
Solukhumbu,1640.68,1589.63
Sindhuli,1640.01,1601.36
Palpa,1639.20,1586.30
Rukum_West,1631.85,1602.84
Salyan,1630.06,1559.45
Bhaktapur,1629.70,1584.33
Kathmandu,1629.54,1584.21
Lalitpur,1628.96,1583.97
Morang,1627.29,1603.75
Dolakha,1625.01,1578.29
Nuwakot,1622.05,1570.42
Dhading,1615.24,1561.13
Rukum_East,1611.69,1558.19
Tanahun,1608.49,1547.11
Sankhuwasabha,1605.35,1561.20
Ramechhap,1600.49,1565.01
Doti,1598.94,1570.12
Kaski,1596.78,1540.25
Achham,1596.36,1558.15
Lamjung,1596.32,1540.96
Udayapur,1593.19,1556.81
Rolpa,1591.03,1530.01
Baglung,1590.89,1539.07
Syangja,1587.42,1530.10
Jhapa,1587.10,1568.82
Kavrepalanchok,1575.66,1527.96
Sunsari,1573.22,1542.39
Gorkha,1572.16,1513.22
Bhojpur,1553.54,1526.27
Ilam,1547.25,1517.35
Dhankuta,1544.23,1517.11
Terhathum,1538.79,1512.71
Gulmi,1534.77,1483.55
Taplejung,1525.82,1475.16
Sindhupalchok,1514.84,1470.84
Khotang,1512.54,1477.18
Okhaldhunga,1512.43,1480.48
Parbat,1509.13,1458.26
Bajhang,1484.08,1463.29
Panchthar,1483.90,1452.47
Myagdi,1464.15,1422.93
