scenario_name,tariff,capex_per_mw,project_year,resource_case,dscr_value,status
"Scenario B - Grid",5.00,85000000,10,"Trough avg (2015-2021)",0.846,"DEFAULT RISK"
"Scenario B - Grid",5.10,85000000,10,"Trough avg (2015-2021)",0.866,"DEFAULT RISK"
"Scenario B - Grid",5.20,85000000,10,"Trough avg (2015-2021)",0.886,"DEFAULT RISK"
"Scenario B - Grid",5.00,80000000,10,"Trough avg (2015-2021)",0.899,"DEFAULT RISK"
"Scenario B - Grid",5.30,85000000,10,"Trough avg (2015-2021)",0.906,"DEFAULT RISK"
"Scenario A - Grid",6.50,95000000,10,"Trough avg (2015-2021)",0.912,"DEFAULT RISK"
"Scenario B - Grid",5.10,80000000,10,"Trough avg (2015-2021)",0.920,"DEFAULT RISK"
"Scenario B - Grid",5.40,85000000,10,"Trough avg (2015-2021)",0.926,"DEFAULT RISK"
"Scenario B",5.00,75000000,10,"Worst year (2020-2021 avg)",0.932,"DEFAULT RISK"
"Scenario B - Grid",5.20,80000000,10,"Trough avg (2015-2021)",0.941,"DEFAULT RISK"
"Scenario B - Grid",5.50,85000000,10,"Trough avg (2015-2021)",0.946,"DEFAULT RISK"
"Scenario B",5.00,75000000,5,"Worst year (2020-2021 avg)",0.955,"DEFAULT RISK"
"Scenario B",5.00,75000000,10,"Trough avg (2015-2021)",0.958,"DEFAULT RISK"
"Scenario B - Grid",5.00,75000000,10,"Trough avg (2015-2021)",0.958,"DEFAULT RISK"
"Scenario A - Grid",6.50,90000000,10,"Trough avg (2015-2021)",0.963,"DEFAULT RISK"
"Scenario B - Grid",5.30,80000000,10,"Trough avg (2015-2021)",0.963,"DEFAULT RISK"
"Scenario B - Grid",5.60,85000000,10,"Trough avg (2015-2021)",0.967,"DEFAULT RISK"
"Scenario B",5.00,75000000,1,"Worst year (2020-2021 avg)",0.975,"DEFAULT RISK"
"Scenario A - Grid",6.90,95000000,10,"Trough avg (2015-2021)",0.976,"DEFAULT RISK"
"Scenario B",5.00,75000000,10,"P50 (2005-2023 mean)",0.978,"DEFAULT RISK"
